Aardvark|a large, long-eared nocturnal animal that uses its long tongue to eat ants and termites|The long-eared aardvark slept all day and ate insects all night.|
Abaft|toward the stern; behind|The wind was abaft which made the ship glide faster towards our destination.|
Abandon|to stop caring and leave or to desert|Since the young girl was unable to care for the newborn, she decided to abandon the child at a fire station.|
Abase|to lower so as to hurt feelings|My stepmother is an evil woman who likes to abase little children because she had a miserable childhood herself.|
Abaser|someone who degrades or lowers someone|After the abaser would make fun of her daughter-in-law’s cooking, she would then continue to talk bad about the young woman’s appearance as well.|
Abash|to humiliate someone and make them feel embarrassed or ashamed|The officer tried to abash the inmates, humiliating them and treating them like dogs.|
Abate|to reduce in degree or intensity|I hope this medicine will abate the pain in my leg.|
Abatement|reduction or weakening or something|Natalie longed for the abatement of the screaming rock music from her brother’s band so she could focus on her homework.|
Abattoir|a place where animals are taken to slaughter|Although many farmers own cattle, they don't slaughter the animals on site but send them to an abattoir.|
Abbess|the female superior of a community of nuns|An Abbess is the female leader of a small community of nuns.|
Abbreviate|to shorten a word or phrase|Learning to abbreviate long words will help the court reporter type more quickly.|
Abdicate|to stop accepting a particular responsibility or obligation that you have|The young prince became king after his older brother decided to abdicate the throne.|
Abdominal|related to the abdomen/stomach, or the part between the thorax and the pelvis|My severe abdominal pains sent me to the hospital where I learned that it was nothing more than trapped gas.|
Abduct|to grab an individual by trickery or force|The kidnappers planned to abduct the millionaire’s daughter.|
Abecedarian|alphabetical|We decided to organize the files in an abecedarian manner so we could find what we were looking for by name more easily.|
Aberrant|straying from the normal or right way|John’s aberrant behavior is going to get him in a lot of trouble one of these days.|
Aberration|deviating from what is normal or desirable, not typical|Shelley’s angry retort was an aberration from her normally quiet demeanor.|
Abet|to encourage or support a behavior or action|The photo editing software is sure to abet my odds of winning the photo competition.|
Abeyance|a state of temporary disuse or suspension|Immediately following the terrorist attack, pilots had to observe a period of abeyance where they could not depart from the airport.|
Abhor|to reject something very strongly; hate|I abhor liars.|
Abhorrence|a strong feeling of hate paired with a feeling of loathing|My abhorrence of racism makes me avoid people with racist attitudes.|
Abhorrent|causing or deserving strong dislike or hatred|As I looked around the filthy apartment, I had to wonder who could live in such abhorrent conditions.|
Ability|the skill or capability to do something|The Flash has the ability to run faster than the speed of light.|
Abiotic|abiotic means something that is sterile; not from living organisms|Unlike alive biotic organisms, abiotic factors are nonliving.|
Abject|cast down in spirit or hope|After his wife died, he was an abject man.|
Abjure|to give up a belief or an activity|After the tyrant took over the country, the citizens had to abjure their political beliefs.|
Ablaze|burning fiercely; in a blaze; on fire|The cops threw Jack to the ground and arrested him after he set the American flag ablaze.|
Able-bodied|physically strong and healthy|If you are not injured or sick, you can generally be considered an able-bodied individual capable of physical exertion.|
Able|having the capability of doing something|Being a healthy young man, I am perfectly able to engage in manual labor, no matter what kind of physical stress that includes.|
Ablution|the act of washing or cleansing|Sylvia has a rare condition that makes her break out in a rash if she gets water on her skin, so her morning ablution consists of using cleansing cream and tissue.|
Abnegation|the act of rejecting or refusing something |Her abnegation of ice cream and cookies is due to her Olympic team training.|
Abnormal|out of the ordinary; unusual|William worried that his abnormal bleeding was a symptom of cancer.|
Abnormality|a feature that is not normal or average|Albinism is an abnormality in the pigmentation of one’s body, making them so pale as to appear white.|
Aboard|on board, into or within a ship or boat|The stewardess welcomed everyone aboard and asked us to pay attention to what she had to say.|
Abolish|to put an end to|The Supreme Court believed it was time to abolish the outdated amendment.|
Abolition|the action of putting an end to something|The abolition of smoking in restaurants is a blessing to people like myself who suffer from allergies and asthma.|
Abolitionist|one who supports the elimination of practices or laws that are viewed as dangerous|The abolitionist is recruiting like-minded people who share her opposition to the pro-abortion laws.|
Abominable|horrible; terrible|Last year’s record final record was abominable and we finished the season with no wings.|
Abominate|to despise intensely|Since I abominate liver, I will starve to death before I eat it.|
Abomination|something that is hated|The marketing team thought the new ad to be an abomination and worked hard to come up with one they didn’t hate.|
Aboriginal|associated with being part of the original population; native|The Indian tribe’s aboriginal dialect has been replaced by the English language.|
Abort|to stop something from happening any longer; to discontinue|The law allows women to abort an early-stage pregnancy.|
Abound|available in large quantity or number|At the beginning of the school year, computer deals abound on the Internet.|
Above|overhead or directly over the head|As the children heard the airplane, they looked above to see the big Boeing 747 flying within inches of the treetops.|
Above|at a higher layer or level than something else|If you look above you while outside, you will almost certainly spot clouds, the sun, or the moon, though in some cases you might not see them at all.|
Abraded|to produce damage or irritation by scraping, rubbing, or crushing|The wool blanket abraded my legs and gave me a rash.|
Abrasion|a spot or area that has been scraped or harshly rubbed|When the little boy fell off his bike, his only injury was a small abrasion on his right leg.|
Abrasive|unlikeable; nasty|Because of Kurt’s abrasive personality, most people try to avoid him at work.|
Abreast|remaining up to date on a topic|To stay relevant in the field of computer programming, Kurt must stay abreast of the latest programming languages.|
Abridge|to make shorter|His agent told him that he needed to abridge some of the content of his novel so that it would be under 400 pages.|
Abroad|in foreign countries|His plan is to get a degree in economics and then work abroad for a year.|
Abrogate|to abolish; to do away with|You cannot abrogate anyone's right to free speech!|
Abrupt|without notice; sudden|The bus came to an abrupt halt outside the school.|
Abruption|a sudden breaking away|During Tara’s pregnancy, placental abruption occurred when the placenta pulled away from the uterine wall.|
Abscess|cavity filled with pus|A tame rabbit was brought in with a large abscess about the size of an egg on its cheek.|
Abscission|the natural shedding of parts of a plant|Abscission of leaves occurs during autumn, before winter sets in.|
Abscond|escape into hiding; to leave quickly and hide to avoid punishment|Do you think he has plans to abscond with the stolen money?|
Absence|being gone from a place or person|She felt his absence like a gaping hole in her chest that was too painful to ignore.|
Absent-minded|describes a person who is forgetful or constantly distracted|The absent-minded professor was always forgetting an ingredient or two in his experiments.|
Absent|not present; not in a place one is expected to be|The absent father never came to his kids’ school events or picked them up for a weekend visit.|
Absenteeism|the practice of missing school or work without good reason|The student’s absenteeism has caused him to miss a lot of work.|
Absolute|complete or total, undisputable|The fact that two plus two equals four is absolute in mathematics, and cannot ever be disputed with any logical argument.|
Absolutely|with no limitation, restriction, or caveat|My cousin is absolutely convinced that there are aliens out there, even though we have no concrete evidence to back up such a notion.|
Absolution|setting free from guilt, sin or penalty; forgiveness of an offense|The killer got on his knees and begged for absolution at his execution.|
Absolve|to make (someone) free from guilt, responsibility, etc.|The jury’s innocent verdict appears to absolve the defendant of any guilt.|
Absorb|to take in or soak up a substance|A sponge will absorb any water it is placed in quite well, since it is porous and designed for exactly that purpose.|
Absorption|the act by which one substance takes in something or is taken in|The paper towels are thick, and as such, have a heavy absorption rate.|
Absquatulate|to depart hurriedly|Before the thief could absquatulate with the diamonds, he was surrounded by police officers.|
Abstain|restrain oneself from doing or enjoying something|Because of my health, I am going to abstain from the consumption of alcoholic beverages.|
Abstemious|marked by moderation and holding back on indulgence|Gerald was abstemious at dinner and only ate a little of the food on his plate.|
Abstention|a decision to not vote for or against a proposition|I decided to settle on an abstention when the family voted on where we should eat, as personally I didn’t care where we went.|
Abstinence|the act of not taking part in something|According to my religion, one should refrain from having sex and practice abstinence until marriage.|
Abstract|being present as an idea but not in a definite form|I cannot distinguish any defined shapes within the artist’s abstract painting.|
Abstruse|difficult to understand|Some of the classic novels are too abstruse for beginning readers to understand.|
Absurd|ridiculous, silly, foolish|Spending the week in jail for stealing a loaf of bread is an absurd punishment for such a minor crime.|
Absurdity|the quality of being ridiculous|To believe that the earth is flat is an absurdity.|
Abundance|a large quantity; many|We're wishing you two an abundance of love and happiness.|
Abuse|Improper treatment|All abuse, whether physical, verbal, psychological or sexual, is bad.|
Abuse|to treat a person or animal in a cruel or mean way|Mean little Griffin used to abuse his dog by kicking and hitting him when his parents weren’t looking.|
Abuse|to mistreat or misuse something|The evil man would always abuse his dog, kicking and hitting the puppy for no reason.|
Abusive|describing continuous violence or cruelty towards something or someone|It is sad to think that many animals suffer at the hands of an abusive owner every day, being physically beaten or deprived of nutrition on a regular basis.|
Abut|to touch or lean on|The chair abuts the wall because it is missing a leg and cannot stand up otherwise, though sitting in it is still risky.|
Abysmal|very bad|Since Troy did not study for the test, he earned an abysmal score on the exam.|
Abyss|an area that appears endless and immeasurable|If you’re an alcoholic, the temptation to drink may seem like a huge abyss.|
Academia|the environment associated with researching, teaching, and learning at a college or university |Gail found the real world of business to be quite different from what she learned in academia.|
Academic|school-related; educational|The academic magazine was full of tips for both teachers and students.|
Academy|a school or place of training in which some special art is taught|The military academy trains up to 2,000 officer cadets each year.|
Accede|to agree with someone or give in to his or her wish|At your insistence and to avoid a prolonged argument, I will accede to your contract terms.|
Accelerate|to increase the motion or growth|It was fun to watch the racecar accelerate from zero to one hundred and fifty miles per hour.|
Acceleration|an escalation in pace or speed|With a little acceleration on my part, I should be able to catch up with the mailman’s truck.|
Accent|a distinctive pronunciation of language often associated by nationality or culture|If you ever meet someone from another country, you will likely note that they have an accent when they speak your language.|
Accentuate|to highlight |The bright colored eyeliner will accentuate Ann’s beautiful eyes.|
Accept|to agree to take or receive|Cinderella tried to accept the prince’s invite to the ball, but her stepmother got in the way.|
Acceptable|satisfactory; adequate|Savannah’s grades were acceptable, but her parents had hoped she would score higher than average.|
Acceptance|the act of taking/receiving something that is being offered|Acceptance of the offer means we will be selling our house to the Jeffersons.|
Accepting|agreeing to take or receive something|Accepting his assistant’s resignation was difficult for the attorney because he didn’t want her to leave.|
Access|gain entrance to|She could no longer access her bank account because there had been too many suspicious purchases.|
Accessible|capable of being accessed|The hotel offers accessible rooms for its handicapped guests.|
Accessory|an article that completes one's basic outfit, such as a scarf or gloves|This silk scarf is the perfect accessory for stylish summer evenings.|
Accident|unexpected event with negative consequences|By accident he touched the hot metal, and yanked his hand away with a cry of pain.|
Accidental|something happening unplanned or unforeseen|Since the boy wasn’t looking, stepping on his friend’s foot was an accidental occurrence.|
Acclaim|public praise and applause|Showered with acclaim, the dancer loved all of the praise she was getting from the crowd.|
Acclamation|loud praise or approval|Debra’s staff works tirelessly and deserves every acclamation.|
Acclimate|to adapt to a new place or different conditions|When you go up into the mountains, allow yourself a little time for your lungs to acclimate to the high elevation.|
Acclivity|an upward slope|We scrambled up the acclivity to view the setting sun.|
Accolade|an acknowledgement or an award|When the police officer was offered the plaque, he refused to accept an accolade for doing his job.|
Accommodate|to fulfill a request or meet the needs of |When I told my manager I was going to school at night, he told me he would try and accommodate my preference to work on the day shift.|
Accommodating|inclined to make happy or content|The accommodating hostess made sure everyone had enough to eat at the party.|
Accommodation|a place for someone to live, stay, or work|The only accommodation offered is a thin old mattress.|
Accompanied|joined by an item or a companion |The rain was accompanied by thunder and lightning.|
Accompaniment| a thing which is provided as a supplement to something else|The accompaniment of the violin really took the song to a new level of sophistication.|
Accompany|to go along with something or someone|According to the menu, a side salad and rolls will accompany the steak.|
Accompanying|appearing or going along with someone or something else|In next week’s newspaper, my article and accompanying photo will be printed.|
Accomplice|a person who helps another person perform a task that is usually criminal in nature|The police are hoping the accomplice will lead them to the mastermind of the crime.|
Accomplish|to achieve or complete something|Even though I used to be pretty bad at mathematics, through hard work and dedication I was able to accomplish my goal of getting an A in the class as my final grade.|
Accomplished|to have achieved or completed something successfully|The committee met for several hours, but accomplished nothing because they argued the whole time.|
