Probity|the quality of a person who is completely honest|The criminal knew he could not buy the judge who was known for his probity.|
Problematic|challenging; difficult|Finding enough volunteers to work at the shelter can be problematic since it’s not a paying job.|
Proboscis|an animal's long flexible nose, or an animal's long tube-like mouth|Using its proboscis to snag a branch, the elephant proceeded to eat the attached fruit.|
Procedure|a surgical or medical treatment|Many anxious brides choose the weight loss procedure despite its surgical risks.|
Proceed|to move forward|The doctor agreed to proceed with the surgery, but only if the patient lost some weight.|
Proceeding|the process of appearing before a court of law so a decision can be made|During the legal proceeding, the jury found the man guilty of several serious crimes.|
Process|a procedure or set of actions that is followed step-by-step|The maid goes through a detailed process when cleaning up each section of the house.|
Proclaim|to announce or declare|In order to win concert tickets, I needed to proclaim my love for the band.|
Proclivity|a natural inclination or tendency to act a certain way|As a young child, the award-winning singer had a proclivity for music.|
Procrastinate|to put off until another time|My project is late because I constantly procrastinate.|
Procrustean|related to forcing everyone to be the same|All inhabitants in the town were forced to dress and behave the same under procrustean rulers.|
Procure|to get possession of something by action or effort|In order to make sandwiches to feed the homeless, we will need to procure donations from local businesses.|
Prod|to push something forward, can refer to a physical object or a situation|The shepherd tried to prod the sheep back in the direction of the field, but they continued to scuttle the wrong way.|
Prodigal|carelessly and foolishly spending money, time, etc.|If you want to save money for college, you should stop your prodigal spending sprees.|
Prodigious|very large in size, force, or extent; enormous|Since Stan’s car accident, he has been taking prodigious amounts of pain pills.|
Prodigy|extremely talented person, especially a child|The high school boy was considered a prodigy when he won the national chess championship.|
Producer|an individual or organization that creates goods and services|Brazil is the world's largest producer of coffee.|
Product|an object made or crafted for sale|Each product made at the factory must be checked by quality control before it’s shipped.|
Production|making or manufacturing of things using raw materials|Workers in the factory stopped production of the tires due to a broken machine.|
Productive|doing or achieving a lot|As productive members of society, the couple were always trying to help others.|
Productivity|a measure for how efficiently well something is working|Because the machines keep malfunctioning, the company’s production productivity has gone way down.|
Profane|vulgar and inappropriate|Because the comic’s jokes were profane and offensive to our religion, we left the show early.|
Profess|to make claims about yourself that other people do not believe|Although Mitch wrote a ballad to profess his love for Cara, he knew his words would not be taken seriously.|
Profession|a career or occupation|Unable to decide on a possession, the man decided to take a job as a waiter while he figured it out.|
Professional|a person that is considered a qualified expert in a particular field or skill|A professional carpenter was hired to build the cabinets inside the new house.|
Proffer|an offer made to another individual| Since I am hungry, I am happy to accept your proffer of a meal.|
Profit|the amount of money a business has left over after subtracting any expenses|The football team sold candy bars at school and kept the profit to buy new helmets and uniforms.|
Profitable|bringing in more money than it cost to make the good or provide the service|The chef looked for ways to make his business more profitable so that he wouldn’t have to shut the doors for good.|
Profligate|1.) wildly extravagant or wasteful; 2.) shamelessly immoral|After the millionaire saw evidence of his new wife's profligate spending, he quickly filed for a divorce.|
Profound|extremely deep|The speaker’s profound words made me think about my future.|
Profuse|in a large amount; abundant|Jonathan has gained so much weight that even his doctor is concerned about his profuse growth.|
Profusion|being in great abundance|In the summer, my dog is always covered with a profusion of fleas.|
Progenitor|any of a person's direct ancestors; an ancestral form of a species|Sharing a common progenitor meant that the two best friends were also 3rd cousins.|
