Sheath|a protective covering, usually of a knife or sword|Carrying the sharp blade in its sheath helped protect the woodsman from accidental cuts.|
Shed|to take something off|As it shimmied along the rainforest floor, the peeling snake continued to shed his skin.|
Sheen|a quality of things with a smooth and shiny surface|I didn’t want the counter to have a shiny look, so I covered it with a paint with less sheen.|
Sheer|of transparently thin quality, usually of fabric|Peering through the sheer curtains, the ill and lonely boy watched his friends play outside in the snow.|
Shell|the hard-outer covering of something|The turtle’s tough shell helps him protect his soft inner body from predators that want to eat him.|
Shelter|to give temporary protection from something bad such as weather or danger|The homeless man set up a makeshift shanty to shelter himself from the bitter cold.|
Shenanigans|actions or behaviors that are dishonest, immoral, or stupid|Because my meal is taking forever to be prepared, I’m certain the kitchen staff is fooling around and engaging in shenanigans.|
Shepherd|a person who tends and guides over a flock of sheep|In charge of keeping sheep for their milk, meat, and wool, the shepherd had a powerful position in the clan.|
Sherbet|a creamy dessert similar to ice cream and sorbet that is usually made with milk, fruit juice, gelatin, and egg whites|The ice cream shop is now serving creamy orange sherbet alongside its other sweet treats.|
Shibboleth|a behavior or word that shows someone belongs to a particular class, ethnicity, culture, profession, nation, etc.|When the man spoke, it was obvious from his shibboleth that he was not a native English speaker.|
Shield|to protect a person or thing from something dangerous or unpleasant|My mother uses sunglasses to shield her sensitive eyes from the sun’s bright rays.|
Shift|to move from one place to another over a small distance|I had to shift my foot from where I had it in the sand because there was a pointy sea shell there that really hurt.|
Shiftless|having a shortage of ambition; lazy|The shiftless man spent most of his day sleeping on the couch.|
Shimmer|to twinkle and shimmer with a soft light|Silver spray paint helped the candidate’s signs shimmer and stand out in the school hallway.|
Shine|to give off bright light|A lone light did not shine bright enough for us to see what was going on underneath the dim carport.|
Ship|to transport goods from one place to another|It is easier to ship goods from plane than by boat since not every city is connected to a waterway.|
Shipment|a quantity of goods that are being shipped|Only one shipment of the exclusive toy arrived on time, leaving frenzied shoppers in a panic to get their hands on one.|
Shipper|a person or company that transports goods|An experienced shipper is needed to transport the fragile cargo from Chicago to Atlanta.|
Shipwreck|the destruction of a ship at sea|The lone survivor of the shipwreck, the injured man looked for anything on the shore to cover his wound with.|
Shirk|to dodge responsibilities|The man tried to shirk his duties by pretending to be ill.|
Shiver|to shake or tremble slightly as a result of being cold, sick, or afraid|The sight of the ghostly figure at the top of the stairs made me shiver with fright.|
Shoal|a group of fish swimming together in shallow water|A shimmering shoal of orange and white fish ducked in and out of the coral.|
Shock|to surprise someone|The news of her father’s murder didn’t shock Ann since he was always involved in drugs and violence.|
