Ungrateful|not grateful; not expressing gratitude|The man left a single dollar to his ungrateful son in his will.|
Unguent|a greasy salve that is used to heal wounds|Rubbing the unguent across the patient’s wound, the nurse hoped the salve would speed up the healing.|
Unhallowed|unholy|Unhallowed talk is not allowed in the holy sanctuary.|
Unhappy|displeased; upset|The couple’s unhappy marriage led to heated arguments and a divorce.|
Unheeded|ignored or not paid attention to|The doctor’s unheeded warnings about the dangers of smoking seemed to go in one ear and out the other.|
Unhinged|deranged; emotionally or mentally disturbed|Ever since her son died, the distraught woman has been emotionally unhinged.|
Unhurt|not hurt, injured, or damaged in any way|Although the toddler was unhurt, the fall down the stairs scared his parents.|
Unicameral|a government that has only one legislative house or chamber as opposed to two|Nebraska is the only U.S. state with a unicameral legislature, meaning it doesn’t have a separate house and senate.|
Unicellular|an organism (such as protozoa, some algae or spores) that are made of only one cell|A simple creature that has only one cell with no nucleus is called unicellular.|
Unicorn|a mythical creature that resembles a horse and has one horn in the center of its head|The horse-like unicorn is said to be the holder of all truth that can pierce the heart of a liar with its horn.|
Unicycle|a bicycle with only one wheel|Riding on a unicycle, the circus clown did tricks on its one wheel.|
Unidirectional|operating or moving in one direction|With the unidirectional model, all the gears turn in the same direction.|
Unification|merger or union of more than one thing|Unification of the school system means that students on both sides of town will now go to the same school.|
Unified|made into one|The couple made a unified decision to buy the house they both liked the best.|
Unifoliate|having only one, compound leaf|Because the plant’s leaf was single, it is described as unifoliate.|
Uniform|identical clothing worn by people of the same workplace, organization, or school|The student wished she could ditch school uniform and show her unique clothing style.|
Uniformity|the state of overall sameness or being identical in every way|Uniformity between the twins’ clothes made it to where even their own parents couldn’t tell them apart.|
Unify|to unite things or make pieces whole|Giving a speech about how important it is for all races to work together, MLK was able to unify the groups.|
Unilateral|performed only by one side|Since the legislators were slow to act on the issue, the president used his executive powers to make a unilateral solution.|
Unimaginable|something that is difficult to believe|After the devastating storm left the area, people were left with unimaginable damage.|
Unimpeachable|completely trustworthy and reliable|Most of the voters saw the candidate as unimpeachable and completely trusted his every word.|
Unimpeded|free of any restrictions or obstacles|After getting a permit from the city, the unimpeded workers were free to build the home.|
Unimportant|trivial and of no great concern|The janitor’s job might seem unimportant, but the school could not function without this essential position.|
Uninhabitable|not able to be lived in or on|Because it is near a nuclear test site, the island is now uninhabitable by people.|
Uninhabited|having no people living there|Jaco Island is uninhabited because the locals think it is sacred land that no one should live on.|
Uninhibited|outgoing; not reserved|The camp counselor encouraged uninhibited participation and wanted the campers to be spontaneous.|
Uninitiated|without specific knowledge or experience|The uninitiated students had trouble understanding the advanced concepts of physics.|
Unintelligible|making no sense; not understandable|The babbling baby let out an unintelligible wail as she toddled down the hallway.|
Unintended|accidental; not intentional|Testifying in court caused an unintended consequence to the salesman’s reputation.|
Uninterested|not concerned; indifferent|Although she acts uninterested, the teenager really does enjoy spending time with her younger sister.|
Union|a marriage|The elderly couple’s union had lasted for over fifty years.|
Unison|the condition of being in agreement or occurring at the same time|Because the singers sung in unison, it sounded like only one person was performing.|
Unit|one part of component|The complex has over sixty apartments, but only one unit is available to rent this month.|
Unitary|relating to one single unit|Those unitary officers are the one allowed to stop drivers in this area.|
Unite|to join more than one thing together|If we are to win the war, our soldiers must unite and face the enemy.|
United|connected together|The United States are separate but connected by a single, federal government.|
Unity|being in harmony or full agreement|During the civil rights era, protestors called for unity and peace in which blacks and whites could live together.|
Universal|relating to everyone in the world|The universal remote is said to work for any kind of television set.|
Universe|the world; earth.|Many predicted the end of the universe in 1999, but the world kept on spinning.|
University|a college or academic institution|Professors at the university teach many different courses including biology and world geography.|
Unjust|not fair, just or right|He believed the sentence was unjust and planned to appeal.|
Unkempt|not clean or tidy|An unkempt appearance was the least of the homeless man’s worries.|
