Galore|in a huge amount|Because there is food galore at the party, I know I will not go hungry.|
Galvanize|to inspire people to work towards change|Do you think the child’s death will galvanize town residents to the point they will stand up to drug dealers?|
Gambit|something done or said in order to gain a benefit or advantage|The general’s gambit did not pay off, and soon we were surrounded by enemy soldiers.|
Gamble|to play a game against odds for a chance at winning money|At the casino, players gamble by placing coins into slot machines for the chance of winning a jackpot prize.|
Gamble|a bet or wager on an event|Some people like to gamble on the lottery even though the odds are against them.|
Gambol|jump or run in a playful manner|Because of the rain, students are unable to gambol on the playground during recess.|
Game-Changer|an event or idea that dramatically changes the course or process of something|The invention of the tank was a major game-changer for the face of war, which had relied on cavalry before troops were mechanized.|
Gamete|a developed sex cell that has only one set of unpaired chromosomes|During sexual procreation a gamete merges with another gamete to produce a fertilized egg.|
Gamut|an entire range|The company has a gamut of products ranging from infant toys to electrical wall outlets.|
Gangrene|the rot and decay of an area of the body that suffered from infection or a wound that usually needed to be amputated|The injured soldier’s wound became infected until gangrene set in, and the doctor’s were forced to cut off the dead tissue.|
Gap|a space in between two things|The gap between the seat and the center console was just wide enough for the keys to fall down in.|
Gape|to stare at someone with your mouth wide open|The men are sure to gape when they see Teresa in her tiny shorts.|
Garage|a building attached to a house where cars are kept|The homeowners added on a two-car garage that was just big enough to hold both of their vehicles.|
Garble|to alter the sound or meaning of something|The drunk man will often garble his words to the point that they are not understandable.|
Garden|a piece of ground, often near a house, used for growing flowers, fruit, or vegetables|The chef had a large herb garden in his backyard so that he always had fresh spices available.|
Gargantuan|of tremendous size|It took five men to move the gargantuan bedframe into the house.|
Gargoyle|an unusual and unpleasant-looking animal or human shape that protrudes from a building’s roof|Many children are frightened by the stone gargoyle that sits on top of the roof of the building.|
Garish|something that is elaborate, showy, striking and in bad taste|Because she likes showing off her money, my wealthy aunt is known for wearing garish jewelry to casual events.|
Garment|single item of clothing|The saleswoman are very knowledgeable while helping me find the right garment to wear at my cousin’s wedding.|
Garnish|to enhance or improve, especially food in a decorative way|Grated cheese and fancy pieces of tomato were used to garnish the salad bowl.|
Garrison|a base or camp used by armed forces|Once the troops make it to the garrison they will rest for the night.|
Garrulous|overly talkative and chatty, mostly about unimportant things|Desperate for peace and quiet, Amanda told the garrulous man sitting next to her to "Shut up!"|
Gas|a fluid substance that is air like and that can expand to fill any space|The balloons were filled with gas so that they could float in the party hall.|
Gasconade|to make particularly showy gestures to brag about an accomplishment|The football player jumped on the cafeteria table and started to gasconade about his speed and ability to catch impossible throws.|
Gaseous|related to or existing as gas|The broken machine is leaking fuel, letting off a gaseous odor into the air.|
Gash|a deep cut|My brother Tim needed to have an operation to close a large gash on his arm.|
Gaslight|to use psychological manipulation to sow seeds of doubt in a person’s mind and make them question their own sanity|The psychopath will gaslight and tell blatant lies in an attempt to throw you off balance.|
Gasp|a short, sudden intake of breath|Seeing her father standing at the arrival gate, the soldier’s daughter let out a deep gasp.|
Gatekeeper|a person or thing that controls access to something|Motioning for the gatekeeper to let him in, the funeral director prepared to take the casket to the cemetery.|
Gauche|lacking class or manners; awkward; tactless|His gauche table manners make me cringe, especially when he tries to talk with his mouth full.|
Gaudy|so showy that it is unattractive|When Crystal returned from the nail salon, she showed me her gaudy nails that were painted bright orange.|
Gauge|to measure a specific thing|The poll is used to gauge the public’s opinion on the president.|
Gaunt|extremely skinny, typically because of illness or starvation|After being held in a dark basement for three months, the prisoner was gaunt and weak.|
Gauze|a thin and transparent fabric used for clothing, curtains, as well as medical purposes|With no bandage available, the hiker had to use some old gauze from a first-aid kit to cover his wound.|
Gawk|to stare stupidly|People always gawk at us because we have seven children in our family.|
Gawky|lacking grace in movement or posture|He's intelligent, but gawky and socially inept, unable to communicate with anyone other than his family.|
Gay|content and joyful|Playing in the field on their day off of school, the young gay children giggled as they were cartwheeling and jumping around.|
Gaze|to stare off, fixing your eyes on something|Natalie stood on her hotel balcony, feeling thankful that she could gaze out at the sunset from such an amazing view.|
Gear|apparel or equipment used for a certain purpose|The news reported how heavy the police officers gear is and how it may slow them down when chasing suspects.|
Gee|an expression used to show surprise or excitement|“Oh, gee!” shouted Leah as she walked into the extremely messy house.|
Gelatinous|having a consistency that is like jiggly like jelly|A large heap of gelatinous noodles jiggled on the girl’s plate as she walked back to her table.|
Gelid|extremely cold or icy|The swimmer immediately regretted wading into the gelid waters, as the coldness of the lake was almost unbearable.|
Gem|something that is prized because of its worth|The building is a gem and is expected to get city landmark designation.|
Gene|genes determine physical traits (how we look), such as hair type, hair and eye color, freckles, height, etc. genes are part of the cell - you inherent genes from your parents. |No one wants to inherit the balding gene, but it is a normal part of aging.|
Genealogy|the history that explains how family members are related|When Glen studied his family’s genealogy, he learned his ancestors came from Germany.|
General|concerning a very broad array of things, or referring to something in a vague sense|The general public includes everyone in your society, from the lowest tier to the absolute wealthiest.|
Generality|an offhand comment not backed up by facts|The presidential candidate made a generality about the growing dangers of global warming without offering any statistics.|
Generalize|to make a broad statement based on limited facts|I told Debra not to generalize by stating that all Chinese businesses are corrupt just because she had a bad experience with one of them.|
Generally|usually, In most cases|Generally, we do not accept checks, but we will make an exception.|
Generate|to create or produce something|The mayor promised to generate new jobs in the area, but none have been created as of yet.|
Generation|a generation is all the people in a group or country who are of a similar age|This generation of students doesn’t seem to care about school as much as their parents.|
Generation|the average amount of time needed for children to grow up and have children of their own|It’s not uncommon to learn that some diseases and health conditions can carry from one generation to the next.|
Generic|describing something that is plain, uniform, or ordinary and typically forgettable|The guards at the gate were rather generic today, being so plain that I can’t even remember what they looked like.|
Generosity|the characteristic of being charitable and kind|Because of your generosity, a deserving student can go to college.|
Generous|displaying a willingness to give more than is expected|The generous old woman decided to donate twenty five dollars to our organization even though we only asked for ten.|
Genesis|the point at which something comes into existence; the beginning|Genesis is the first chapter of the Bible’s Old Testament.|
Genetics|the area of biology that focuses on the passing of genetic traits|When Tammy studied genetics in class, she learned her eye color differed from her parents because of recessive genes.|
Genial|warm and welcoming |Santa Claus is such a genial man that children love to approach him.|
Genie|a magic person that lives in a lamp and grants wishes to the person who calls on it|The genie was trapped in the magic lamp for thousands of years before anyone rubbed the side.|
Genocide|the purposeful murder of individuals of a particular people|Armed troops are being sent to end the dictator’s genocide that has resulted in the deaths of over twenty thousand people.|
Genome|the complete set of genetic material within an organism|Each species on Earth has a different genome, with different DNA and genetic material to set them apart from other species.|
Genotype|the genetic makeup of a particular organism or group of organisms|If both of your parents have dark hair, you likely won’t have the genotype to be a blonde.|
Genre|a particular type of music, writing, film, or art|Though he did not normally enjoy movies in the horror genre, he found the trailer quite compelling.|
Genteel|polite and well-mannered|At the formal dinner, you are expected to behave in a genteel manner.|
Gentility|class or a good upbringing|Ed’s lack of gentility was evident when he started to drink the water in his fingerbowl.|
Gently|softly or with light action|Stroking the puppy gently, the woman tried to make him feel more at ease.|
Gentry|a term used mainly in the past to refer to members of society’s upper class|The gentry travelled in carriages while the poor people walked or rode on rickety wagons.|
Genuine|real, authentic, and exactly as it appears|When the bride took her engagement ring to be reset she was shocked to discover that her diamond was not genuine but cubic zirconia.|
Genus|a genus is a class or group of something, usually used in biology to classify similar animals of different species|Because it represents the group, the genus is the first part of an animal’s scientific name.|
Geocaching|an outdoor game in which people hunt for hidden items and locate them using GPS|Our history teacher offered extra credit to those who would use their phones’ GPS systems to go geocaching for historical sites.|
Geocentric|describes something that considers the earth its center|For years, people believed in a geocentric model in which the earth is at the center of the universe.|
Geography|the nature and relative arrangement of places and physical features |Jessica’s knowledge of geography was so terrible that she thought China was next to Mexico.|
Geology|that portion of science associated with rocks and their relevance in the history of an area or planet|In the study of geology, rocks are placed into distinct categories according to certain characteristics.|
