Hereby|a formal phrase, action or law|I hereby sentence you to life in prison after all the charges against you have been proven true.|
Heredity|the inheritance of traits to children from their parents|Because of my heredity, I have my mother’s red hair and my father’s green eyes.|
Heresy|deviation from a dominant theory, opinion, or practice|Heresy in our church has led to a huge disagreement between members of our congregation.|
Heretofore|previously; before now|The investment has produced amazing profits that were heretofore unimaginable.|
Herewith|with this letter or communication|The applicant enclosed her resume herewith the cover letter in an envelope for a position at the local accounting firm.|
Heritage|something handed down from passed generations, such as traditions, beliefs, languages, values, culture, property, family customs, etc.|Though he was proud of his Italian heritage, he really had never visited the country.|
Heritage|culture including traditions, languages, or objects which are passed down generationally|The Pyramids of Giza has been declared a world heritage site because of the great history these ruins.|
Hermetic|associated with a lifestyle in which a person or group is isolated from others|As a freelance writer who rarely leaves her house, Kate lives a hermetic lifestyle.|
Hermit|someone who lives alone and avoids human companionship|Sheltered by a mountain, the recluse hermit lived in a rickety hut.|
Hermitage|a place of solitude where an individual resides to gain clarity or profess their faith|The hermitage was situated in the deepest part of the forest, far from prying eyes and human contact.|
Hero|someone who is known for his or her brave actions|As the hero dove into the raging river, he quickly grabbed the drowning child and brought her to safety.|
Heroic|very brave|When Anna administered CPR on the drowned victim, witnesses clapped and admired her due to her heroic acts.|
Heroine|a female hero or protagonist|This story focuses on a young girl, making her the heroine that will embark on an epic journey and save the day.|
Heroism|the qualities characteristic of a hero, such as courage, bravery, fortitude, unselfishness, etc.|The firefighters showed their bravery and heroism when they were able to retrieve the family members from the burning house right before it crashed to the ground.|
Heron|a fish-eating bird that is best known for its long neck, legs, and bill|At the base of the waterfall, the heron has its bill in the water hunting for fish.|
Hertz|unit of frequency|While undergoing a hearing test, the nurse played different sounds with a variety of hertz to determine how well the student could hear|
Hesitant|slow to respond because of uncertainty|The president was hesitant to sign off on the war order.|
Hesitate|pause before doing something because of uncertainty or nervousness|We watched the driver hesitate as she decided whether to turn right or left.|
Hesitating|pausing before saying or doing something|Hesitating for a second, the basketball player seemed to second guess himself before taking the shot.|
Hesitation|a delay due uncertainty|Jumping in without hesitation, the swimmer quickly plunged into the pool.|
Heterodox|different from what is considered the norm|The church will excommunicate anyone who preaches heterodox beliefs.|
Heterogeneous|not alike|The twins are heterogeneous in appearance and look nothing alike.|
Heterosexual|being sexually attracted to people of the opposite sex|Being heterosexual, the man only found women attractive.|
Heterotroph|an organism that must feed on other organisms in order to grow and survive|A carnivore is classified as a heterotroph because it must feed on other living things in order to grow and survive.|
Heterozygous|having two genes that are different, with one being recessive and one being dominant|Heterozygous eye color alleles led the boy to look like his brown-eyed mother but not his blue-eyed father.|
Heuristic|improving and learning from certain experiences|The purpose of the heuristic class is to teach people through personal trials.|
Hew|using heavy blows to hack with a tool or instrument |When my father got angry with my mother, he would go in the backyard and hew wood with his axe.|
Hewn|cut or shaped with an ax or chisel|The sculptor’s wooden creation was hewn with a sharp chisel.|
Hexagon|a figure with six straight sides and angles|The hexagon shaped pizza was sliced into six equal pieces.|
Heyday|the peak time where there was great achievement and recognition|In the heyday of the company’s history, employees were being paid extremely high paychecks due to the company’s significant profits.|
Hiatus|a period of time when something is stopped|After Mary had a baby, she took a brief hiatus from work.|
Hibernate|an adaptation of some animals that allows them to spend the winter in an inactive state|Snoozing deep inside the cave, the bear continued to hibernate all winter long.|
Hidden|not easy to find; not accessible to view|A hidden camera secretly takes a close up photo of the shopper's face.|
Hidebound|rigidly opposed to change|The hidebound politician refused to change his position on the abortion bill.|
Hideous|extremely ugly or disgusting|The con man flashed a hideous smile, giving us the chills.|
Hierarchy|a ranking system designed to maintain order in a society or organization |In regards to political decisions, the prime minister sits at the top of the British hierarchy.|
Hieroglyphic|writing that is done in hieroglyphics|The writings of the ancient Egyptians was almost entirely hieroglyphic, based on pictures and drawings.|
High-handed|overbearing; using power more forcefully than needed|The high-handed king ruled with an iron fist, never allowing his citizens to have any freedom.|
High-octane|forceful and energetic in a powerful way|The coach’s high-octane enthusiasm motivated all of his players to give the game their all.|
High|rising or extending upward|Kim flew her kite high above the ocean and the beach shore.|
Highfalutin|conceited or arrogant|After the woman discussed her potential case with the highfalutin lawyer, she deliberated whether the lawyer’s abilities were worth his high prices.|
Hijack|to take control of something (i.e., a plane) illegally or without permission|During 9-11, the terrorists were able to hijack a plane and crash it into the Twin Towers.|
Hijinks|mischievious shenanigans or play|Many witnesses could hear the hijinks in the park as the laughing teenagers covered a car in toilet paper.|
