Ineffectual|incapable of generating the sought after effects|Once I realized the medicine was ineffectual, I stopped taking it.|
Inefficacious|not producing the desired effect|Liam thought that if he bought Julie flowers and expensive gifts she would reciprocate his love but his tactic was inefficacious.|
Inefficient|not performing to ability or productivity|The inefficient bridge needed extensive work before it would be cleared for travel.|
Inept|having or showing no skill|The teenager was an inept driver who could not back out of his driveway without hitting something.|
Ineptitude|the quality of being unfit or inept|Because of Bill’s ineptitude, he lost his job.|
Inequality|an unfair, not equal, state|Inequality in the ingredients was likely the cause of the bitter tasting recipe the chef copied from his mentor.|
Ineradicable|not capable of being removed completely|Though black-market drugs are probably ineradicable, the government is still fighting to remove them from our society.|
Inert|without power to act or move |Since my wounded dog is inert, I have to lift him up and put him in the car.|
Inertia|the tendency to continue being motionless or inactive|The legislators’ inertia has allowed the budget extension to expire before a solution can be put in place.|
Inestimable|to such an extent the worth can’t be properly valued|It’s impossible to define the inestimable role police officers play in keeping society safe.|
Inevitable|incapable of being avoided or evaded|Since Mary never wears shoes, it was inevitable that she would get a piece of glass in her foot.|
Inevitably|going to happen; unavoidable|Although my dog runs away sometimes, he inevitably returns home after a few hours.|
Inexcusable|too bad to be justified or tolerated|When her best friend started dating her ex boyfriend, she knew their friendship was over because that kind of betrayal was inexcusable.|
Inexhaustible|endless; limitless|The inexhaustible buckets of peanuts are continuously refilled as guests eat from them.|
Inexorable|not able to be persuaded or stopped by any means; stubborn|Of course, the public is enraged by the inexorable rise in gas prices.|
Inexpedient|impractical or unwise|It would be inexpedient to go walking through the desert without several bottles of water to keep you hydrated.|
Inexplicable|incapable of being explained or interpreted|Because the weather was clear and sunny a few moments ago, the sudden thunderstorm is inexplicable.|
Inextricably|in a manner that is impossible to be unlinked|The site where the black men were lynched has been inextricably linked with sorrow and hate.|
Infallible|not capable of being wrong or of failing|While you may think you are infallible, you make mistakes just like everyone else!|
Infamy|the condition of being known for something unpleasant or bad|In hopes of gaining infamy, the troubled youth brought a gun to school.|
Infancy|the beginning stage of growth|The hurricane seemed like a minor problem in its infancy but quickly grew into a devastating storm.|
Infant|a young child, typically a baby that is not yet considered a toddler|A human baby is considered an infant until it is about one year old, when it typically starts learning to walk and speak to some extent.|
Infantile|pertaining to infants|Two adults began to squabble in a most infantile way, displaying behavior that was very inappropriate for their age.|
Infantry|a group of soldiers that march and fight on foot|The infantry marched into battle with their rifles on their back and a mission in their hearts.|
Infection|a disease or virus that makes one sick|Because she didn’t wash the cut on her hand regularly, Tessa ended up with a nasty infection inside the scratch.|
