Phew|to convey a sense of relief, fatigue, surprise, disgust when something hard is finished or no longer worried about something|“Phew, that was a close call and glad the car moved back into its proper lane before she hit us.”|
Philander|to shamelessly flirt or take advantage of sexually|He was a known flirt who liked to philander with several women.|
Philanthropist|an individual who is very generous to others|The technology mogul is a philanthropist who gave over fifty million dollars to colleges and universities last year.|
Philanthropy|the act of donating time and money to help others|My children realize helping others through philanthropy is much better than wasting money on foolish toys.|
Philippic|a nasty tirade against a thing or individual|The editor’s philippic about the disgraced politician was incredibly spiteful.|
Philology|the study of historical prose, poetry and linguistic fields|After taking my courses in Philology, Literature, Western Civilization and Poetry, I was ready to get my English and History degrees.|
Philosopher|someone who provides answers or deep explanations on reason and beliefs|Plato was a philosopher who was known for his theories about thinking and reasoning.|
Philosophize|to think to oneself or talk on deep, serious or fundamental issues, like the meaning of life|While attending the party, many attendees began to philosophize about their own beliefs.|
Philosophy|a study or branch that includes the deep explanations on reason and beliefs|After studying philosophy at school, Pete now understands the reason people act the way they do.|
Phlegmatic|not easily upset, excited, or angered|The minister of my church is a phlegmatic man who never seems to get upset about anything.|
Phobia|an unreasonable fear|Ellen’s clown phobia makes her afraid to go to the circus.|
Phonetic|relating to the sounds of speech|The teacher helped the student with his phonetic errors and soon he was able to correctly sound out most words starting with the letter “r”.|
Phonics|a method of instructing reading which focuses on the way letters and syllables sound separately and together|At an early age, students learn how to read by blending letter sounds and syllables in phonics lessons.|
Phonology|refers to relationships among speech sounds|Phonology is the series of noises that establishes the components of a spoken language.|
Phony|fraudulent; fake; having a misleading appearance|Although the man claimed to be a doctor, no one was fooled by that glib phony.|
Phosphate|a fizzy drink containing water, sweet liquid and an acid|In the mid-1900s, many customers would order phosphate sodas because they wanted a bubbly drink.|
Phosphorescence|a glowing illuminated object caused by radiation|The walls showed brightly through the darkness in the room due to the phosphorescence in the paint.|
Phosphorous|a reactive natural substance that is both necessary for life but also toxic in large amounts|Farmers were very careful when selecting a fertilizer for their crops since some of them contained an abundance of phosphorous.|
Photobomb|to spoil one’s picture by suddenly placing oneself in front of the camera|Mr. Curtis likes to jump in front of students’ cameras and photobomb those trying to take selfies during class.|
Photogenic|looking good when photographed|Although Rachel claims that she does not look good in pictures, I think that she is the most photogenic student in our class.|
Photograph|a picture taken with a camera usually so the event can be remembered later|As we walked down the aisle, I took a photograph using my cell phone of the famous celebrity so I could have a memento of the occasion.|
Photographer|someone who creates pictures using a camera for a job|The wedding photographer asked the couple to pose together as he made sure the lighting was favorable for the scene.|
Photographic|relating to taking pictures with a camera|Judge Stanley required proof of the damage to the plaintiff’s car by having the plaintiff submit photographic images of it.|
Photography|using illumination and a camera to create pictures of objects|While the young woman positioned the camera with the sun behind her back, the couple realized she had probably studied photography.|
Photometer|a device that gauges intensity of light|After the photometer broke, the camera was worthless since it produced only dark pictures.|
Photon|a small atom or unit in the category of electrically charged things|When the photon is at rest, it has not weight or volume to it but does have other identifying properties.|
Photosynthesis|the biological process in which plants turn carbon dioxide and water into nourishment|If not for photosynthesis, plants would perish from a lack of nutrients.|
Phraseology|phraseology is a choice of words|All of the legal jargon and phraseology can be confusing to those not in the industry.|
Phrenology|phrenology is the study of the cranium to learn of one’s character and mental abilities|Phrenology is the study of the human skull and its effect on mental wellness.|
Phylum|phylum is a taxonomic naming level between kingdom and class|The biology teacher explained the correlation between the phylum of an organism and its traits.|
Physical|physical means relating to the body|For some of the athletes, football practice was too aggressive and physical on the neck.|
Physicality|involvement of a lot of physical contact|The physicality of the football game made the players at risk for injury.|
Physician|a physician is a doctor|The orthopedic physician repairs broken bones.|
Physicist|a physicist is one who is an expert in physics|The thermometer was invented by a German physicist named Daniel Gabriel Fahrenheit.|
Physics|branch of science concerned with the properties of matter and energy|The study of physics is critical to the science of projectiles, since physics deals with how things move and the energy that propels them.|
Physiognomy|the face or exterior of an object or region viewed as a way of understanding character|Looking at Jake’s physiognomy, it was impossible to ignore the stress lines that told the story of his hard life.|
Physiological|of, or relating to physiology|When working out at the gym I experience a positive physiological change, as my heart beat starts to pick up its pace.|
Physique|a physique is the size and type of a person’s body|The marathoner’s physique is slender and tall.|
Piano|a piano is a keyboard instrument|A piano is a musical instrument that is played by pressing keys on a keyboard.|
Picayune|insignificant; small|While twenty dollars may seem like a picayune sum to you, it is a fortune to a starving person.|
Picket|action taken by unhappy workers in which they stand outside of their workplace and protest something to bring about a change|The plant workers continue to picket around the factory, raising their signs in protest of the unsafe work conditions.|
Pickwickian|having the attributes of innocence and naiveté|The pickwickian young girl believed everything he brother told her.|
Picnic|a picnic is a meal eaten outdoors usually on the ground|We had a picnic in the park where we ate sandwiches on the ground under a tree.|
Pictograph|a pictograph is a visual depiction of information|A bar graph was drawn as a pictograph to illustrate the data for the class.|
Pictorial|pictorial means to be expressed in pictures|The pictorial novel was a hit with people who disliked reading and enjoyed looking at pictures.|
Picture|representation of a visible reality produced by painting, drawing, photograph, etc.|When we had a family reunion and looked through old photographs, I saw a picture of the house I spent my childhood in.|
Piddling|piddling means useless petty and trivial|I am tired of your petty piddling questions that have nothing to do with the issue at hand.|
Piddling|trivial and petty in importance or significance|Amy tends to get upset of the most piddling things, crying and carrying on about nothing.|
Pidgin|a grammatically simplified form of a language, used for communication between people not sharing a common language|Speaking in pidgin, both the Nigerian and the Ghanaian were able to understand each other.|
Piece|a piece is a part of a whole|I will share small piece of my pie, but I will not give the whole pie away.|
Pied|pied means having two or more different colors|The young children rode the tan and brown pied colored pony at the birthday party.|
Piedmont|a piedmont is gentle slope leading from the base of mountains to a region of flat land|The piedmont at the base of the Andes Mountains leads to a small farming village.|
Pier|a tall and long dock for boats or people that extends out several yards into a body of water|Standing on the pier, the couple watched the surfers tackle the large waves as water crashed along the pier’s wooden posts.|
Pierce|(Of a sharp object) to penetrate or puncture something|As I stepped on the broken glass, I felt something sharp pierce my skin.|
Piety|respect and devotion to a higher power or religious organization|The millionaire’s act of piety was a huge donation that allowed the church to build homes for five needy families.|
Piffle|nonsense or rubbish|Mason’s brain was filled with piffle because all he thought about was dragon nonsense.|
Pigeonhole|a small compartment|Instead of big expensive lockers, students had access to a small pigeonhole where one or two books could fit.|
Piggyback|to carry someone on your back or shoulders|Because it rained a lot today, my dad gave me a piggyback ride to the car so I wouldn’t get my new shoes wet and muddy.|
Pigment|a natural substance that gives color to something else|The paint store was unable to match the pigment sample.|
Pile|a heap or mound of things|“Look over there, there is a massive pile of leaves.”|
Pilfer|to take illegally in small amounts|The maid hoped she could pilfer her wealthy employer’s jewelry bit by bit so the thievery would go unnoticed.|
Pilferage|the recurrent theft of small items of little value|The pilferage of the house resulted in the owners having a roll of toilet paper stolen.|
Pilgarlic|bald|The glossy pilgarlic head was so bare that it was reflecting sunlight.|
Pilgrim|an English Puritan who founded the colony of Plymouth, Massachusetts|A female pilgrim’s attire included a gown that covered the early settler’s entire body.|
Pilgrimage|a trip or journey, usually for religious purposes|As part of his religious education, Ahmad is required to make a pilgrimage to Mecca.|
Pillage|to take by force, normally during a war or battle|The general was a decent man and did not allow any of his soldiers to pillage items from towns they invaded.|
Pillar|a tall upright structure made of stone, wood, or metal, to be used as a support for a building|A pillar is a large post supporting a piece or pieces of architecture.|
Pillory|nan|During the colonial period, thieves were often locked in a pillory in the town square where they would suffer public humiliation.|
Pilose|to be covered in long soft hairs|The pilose cat was named “Fluffy” due to its cottony, soft, and furry hair.|
Pilot|one who operates aircraft|The pilot navigated his crop duster airplane over the crops to spray them with fertilizer.|
Pin|a small piece of metal used to fasten or attach things|Because I won first place in the science fair, there was a pin attached to my project with a prize ribbon.|
Pinch|to tightly grip using a finger and thumb|Since his body fat percentage is six percent, you can’t pinch an inch from his waist.|
Pine|an evergreen coniferous tree|The trees that release a distinct strong pine scent are evergreen pine trees.|
Ping|a sharp sound, like that of metal striking something|While making a toast to the bride and groom, the woman tapped her glass with a high-pitched ping.|
