Volunteer|to donate time or energy to a cause usually charitable|The students volunteer at the annual beach clean up.|
Voluptuous|displaying luxury and giving pleasure to the senses|Every once in a while I like to treat myself to the voluptuous indulgence of a spa weekend.|
Vomit|to eject/throw up food and other matter from the stomach through the mouth|Feeling sick to her stomach, the nauseous woman tried not to vomit all over the floor.|
Voracious|having a large appetite; greedy|The football player was a voracious eater who easily consumed two chickens during one meal.|
Voracity|extreme hunger for food or an activity that is powerful and consuming|Her voracity for reading was marked by her overflowing bookshelves, too much money spent at her favorite little bookshop, and the fact that she read at least one book a day.|
Vortex|a movement or force, usually circular in shape, that pulls things into its stream or current|In the movie, the vortex pulled in every spaceship that came near it.|
Votary|A person, such as a monk or nun, who lives a religious life according to vows they have made|The young man decided he wanted to devote his life to his religion and became a votary.|
Voter|a person who casts a vote in an election|Casting his ballot at the election precinct, the voter was confident in his selection for a new county mayor.|
Votive|dedicated or given in fulfillment of a vow or pledge|In honor of the holiday, votive candles were placed around the room.|
Voucher|piece of paper that entitles the holder to a discount|Although she was not doing well financially, Amber was able to buy lunch with a voucher.|
Vouchsafed|granted as a favor or honor|Since the parole committee vouchsafed the killer’s release from prison, the parents of his victims have been in an uproar.|
Vow|an unwavering decision, usually of great importance to those involved|On their wedding day, John made a vow to love his wife beyond death and into the next life.|
Vowel|a speech sound (a, e, I, o, or u) you make with your mouth open and your tongue in the middle|‘E’ is the most frequently used vowel, being used to form words like ‘feel’ and ‘exercise.’|
Voyage|an account of a trip especially one made in a boat|During the seven-day voyage, the ship traveled to three different countries.|
Voyeuristic|getting pleasure from secretly watching other people taking their clothes off or having sex|Arrested for videoing women without their consent, the voyeuristic neighbor is being held on a fifty-thousand dollar bond.|
Vulgar|without taste; inappropriate|The first time a student uses vulgar language in class he is given an afterschool detention.|
Vulnerable|exposed or in a position that cannot be completely defended|Without some type of shade, my toddler is going to be extremely vulnerable to the sun.|
Vying|involved in a competition for something|The two boys are both crazy about the head cheerleader and are constantly vying for her attention.|
Waddle|to take small steps while walking in a stumbling way|As the duck would waddle to the pond, its webbed feet would move back and forth along the path in bobbing motion.|
Wade|to walk or paddle through water or another liquid|During the flood, the escaping residents had to wade through the rushing water to get to dry land.|
Wag|(of an animal) to cause one’s tail to move back and forth rapidly|The happy dog began to wag his tail back and forth when he saw his owner through the window.|
Wager|to bet or gamble|The gambling banker tended to wager too much, betting it all on risky investments.|
Waggish|acting in a mischievous manner|The waggish teenage boys kept tripping on the ground in hopes of attracting the attention of the pretty girls.|
Waif|a very skinny and lanky girl or young woman|After noticing the female waif begging for food on the streets of India, it became apparent to the tourists that it had been a long time since she had a proper meal.|
Wail|a loud, long, and often anger or pain-filled cry|The toddler started to wail after he fell off his bike and scraped his knee.|
Waist|the part of the human body above the hips and below the rib cage|Your waist is what the band of your pants rest on, holding them up just above your hips.|
Waive|to give up one’s rights or claims|1. Because Bill knows he is innocent, he is going to waive his right to an attorney.|
Waiver|a document that records the fact that someone has given up the right to a claim|By signing the waiver, the scuba diver assumed the risk of any accidents.|
Wake|to emerge from a state of sleep|The alarm clock wasn’t set for the right time, so it didn’t wake the CEO up for work this morning.|
Wallop|to hit hard|Boxers wallop each other with jabs and punches.|
Wallow|to indulge in one’s emotions|Ever since April lost her job, she has done nothing but wallow in self-pity.|
Wallowing|to roll about in a lazy or relaxed manner|Wallowing about in its pigpen, the lazy pig loved to frolic in the mud and muck.|
Wan|weak or pale in quality or appearance|Although the toddler was quite ill, he still managed to give his mother a wan smile.|
Wander|to stray from a path or walk about without a purpose|The bookworm loved to wander through the library and brush her fingers against the spines of the books.|
Wanderlust|a deep urge to travel|Even though I had sprained my ankle, I could not resist my wanderlust and used crutches to walk to the beach with my friends.|
Wane|to gradually decrease in value or intensity|When the investigators ran out of leads, the intensity of the murder investigation started to wane.|
Waning|a gradual decline in strength or power|The losing basketball team’s confidence was waning in the final moments of the game.|
Wanton|having no concern for the rights, feelings, or safety of others|Jim’s wanton disregard for others was obvious when he drove home drunk.|
War|a state of conflict between two countries or groups of people|After our country was attacked with a missile, we decided to go to war against our enemy.|
Warden|the person in charge of a jail or prison|The newest warden is in charge of running a state facility that houses over 2,000 inmates.|
Wardrobe|a person’s entire collection of clothing|The plain jane wants to spice up her wardrobe with a few sexy dresses and provocative mini-skirts.|
Ware|a good that can be purchased|The ware I bought at the street festival is the perfect addition to my mug collection.|
Warfare|involvement in the activities of armed conflict (war)|The country has a history of warfare and always seems to involve itself in armed conflicts.|
Warily|carefully; with caution|The wealthy woman watched warily as the three suspicious men walked by her luxury car.|
Wariness|the state of being cautious about things that could be dangerous or problematic|Because of her wariness around strangers, Jazz is reluctant to talk to people she doesn’t know.|
Warning|a sign or signal that something is going to happen|The loud siren served as a warning and let the townspeople know a tornado was coming.|
Warp|to twist into a different or abnormal shape|If the chair gets wet, the wood will warp and make the furniture uncomfortable for sitting.|
Warrant|a document issued by the court that gives the police the authority to do something (to enter a place, to arrest a person.)|Showing up with a warrant, the police asked the homeowner to let them inside so they could search for their suspect.|
Wary|caution; guarded; careful|One of the most important lessons that parents must teach young children is to always be wary of strangers.|
Washable|able to be washed or cleaned|The washable paint was easily wiped off the floor.|
