Buoy|a float in water that is used to mark something|To alert boaters of the hazard ahead, a small buoy was used to mark the sandbar near the surface.|
Buoyant|joyful and self-assured|With a great deal of confidence, the buoyant model strolled down the runway.|
Burden|a heavy load|Finding he had cancer, he tried to shoulder the burden alone and keep the news from his friends.|
Burden|a problem or inconvenience |Babysitting for my neighbors had become a burden when they wanted me to work over 40 hours a week while going to school.|
Burdensome|tough to fulfill or carry out|After accepting several jobs, Lily realized it was burdensome for her to try to juggle all of those jobs.|
Bureau|an agency or governmental department|Although it is their job, officials at the labor bureau refuse to support worker rights.|
Bureaucracy|a method of business or government in which red tape processes are used to delay action |The bureaucracy of the legislative government is delaying the passage of much needed educational funding.|
Burgeon|to grow and expand rapidly|As car prices go down, car dealers are expecting sales to burgeon.|
Burglar|a robber or thief that enters a building illegally to steal|The burglar isn’t known for stealing jewels or money, but hijacking hamburgers and french fries.|
Burglary|illegal entry into a building or vehicle with the intention of stealing|Because he had been convicted of burglary before, Nick was the prime suspect in this hotel break-in.|
Burial|the act or ceremonial practice of placing something (usually a dead body) underground|Before the burial ceremony, grave diggers dug out a space for the coffin.|
Burlap|coarse, plain-woven fabric used for bagging, furniture, and rugs|Burlap bags are being woven to hold potatoes and produce to be sold at the market.|
Burlesque|a stage production or literary piece that uses excessive exaggeration or comedic imitation to ridicule something or someone|The burlesque war film depicts our president as a kid playing with toy soldiers.|
Burly|large, strong and heavy|When he attempted an escape, a burly police officer had to forcefully restrain the suspect.|
Burnish|to polish; to make smooth or shiny|Richard is forever attempting to burnish his reputation so that he can advance his position within our company.|
Burnt|seared; scorched|My siblings think it is disgusting that I prefer my meat burnt and overcooked on the grill.|
Burrow|to dig in order to make a hole or tunnel|The rabbit tried to burrow himself down in the ground so that the fox wouldn’t catch him.|
Burst|to explode suddenly|Rocks falling down during the landslide burst apart, breaking into a million pieces.|
Bury|to cover completely, typically with dirt or some other earthy substance as an act of hiding or putting to rest|Dogs like to bury their bones and toys in the yard.|
Bushel|a measure of capacity equal to 8 gallons, used for dry goods|The bushel of oats would yield enough for many bowls of cereal.|
Busily|hurriedly, in a very active way|The servants hurried through the kitchen, busily preparing for the king’s feast.|
Business|the activity of buying and selling goods and services, especially as one’s living|When the real estate market crashed, the business of selling homes came to a creeping halt.|
Bust|a sculpture or statue of a person’s head, shoulders, or chest|The artist created the bust to show how beautiful the woman’s face was.|
Buster|something used to break something else apart|The laundry spray is a grease buster that can break up even the toughest stains.|
Bustle|to move in a noisy or hurried manner |On Valentine’s Day men bustle about the store trying to find last minute gifts.|
Busybody|a person who is always in other people’s business, meddling and starting trouble|The busybody next door is always snooping on the neighbors and trying to figure out what they are doing.|
Buttress|nan|For over two centuries, the U.S. Constitution has been a buttress for the government.|
Buy|obtain in exchange for payment|She went to the mall to buy a new dress for her interview.|
