Column|a-pillar or post that stands upright and is shaped like a cylinder|Each column of the tall plantation home had lights wrapped around its cylindrical form.|
Comatose|unconscious and unable to communicate|The car crash victim was comatose and unable to talk while on the stretcher.|
Combat|ake action to reduce, destroy, or prevent|In order to combat global warming, we must try to recycle, waste less, conserve energy, and burn fewer fossil fuels.|
Combatant|an armed fighter|Carey loved hearing his grandfather’s stories about when he was a combatant in WWII.|
Combative|ready to fight; argumentative|As the angry patient became more combative, the nurse gave her a shot of medicine to help her relax.|
Combination|the result of the grouping together of several different things|The kids like to eat pizza that has a large combination of different toppings.|
Combine|to bring two or more things or activities together; to unite|For a quick breakfast I often combine milk with cereal.|
Combustible|something that is susceptible to igniting or being caught on fire|Paper is a combustible material that you could easily light on fire with a match or a lighter.|
Combustion|the process of burning|The combustion of leaves can lead to a forest fire if not handled properly.|
Comeback|a return to popularity, success, etc. after an extended period of obscurity|Shoulder pads went out with the eighties, but I think it's making a comeback.|
Comedy|professional entertainment designed to make the audience laugh, typically through jokes or satire|I prefer to watch comedy movies because I prefer laughing over being scared or involved in a suspenseful action scene.|
Comeliness|attractiveness; beauty|The vain woman’s mother kept insisting that comeliness is in the eye of the beholder, but the daughter insisted a good plastic surgeon is key.|
Comely|attractive to the eye|Jake offered to buy the comely blonde a drink.|
Comer|one showing promise of attaining success|Starting up a comer advertisement agency, it was obvious that the entrepreneur’s business was headed for success.|
Comestible|an item of food|An Italian based comestible, pizza is one of my all-time favorite foods.|
Comet|a celestial body, generally with a tail located in the solar system|Astronomers discovered a comet and as it comes closer to earth, it becomes apparent it may strike our planet.|
Cometh|a form of the word come that is third-person singular simple present indicative form but is archaic and rarely used|If you refuse to pay what you owe, to your door, the tax man cometh.|
Comeuppance|just punishment that someone deserves|The judge handed down comeuppance to the deserving rapist.|
Comfort|to relieve the distress or suffering of; to provide relief to|Ruth’s was able to comfort her best friend after her cancer diagnosis with her supportive words.|
Comical|funny; amusing|My husband found the show comical, while I just thought it was silly.|
Comically|in a funny or joking way|The class clown would answer questions comically usually by explaining a situation that could never happen.|
Comity|mutual courtesy and respect|Comity is hard to find in the office since all of the bankers seem to value cutthroat actions over respect.|
Command|to order someone to do something|The King will command the men to be executed and the orders will be carried out.|
Commandeer|to take control of something|When the police officer noticed his tires were punctured, he made the decision to commandeer a civilian’s vehicle.|
Commander-in-chief|the supreme commander in a country’s armed forces|The President of the United States is the Commander-in-chief of its armed forces, the supreme commander above all others.|
Commander|a person in control of a group of people, especially military groups|The commander ordered the troops to turn back and leave the area.|
Commandment|a divine rule handed down by God|Because he didn’t fall the commandment ordained by God, the sinner was sentenced to death.|
Commemorate|to do something special as a means of tribute or recognition |The general will commemorate the soldier’s act of heroism by presenting him with a medal.|
Commence|to get under way |Since the meeting will commence at three o’clock exactly, do not be late!|
Commencement|graduation ceremony in which diplomas or degrees are confirmed|Preparing her commencement speech, the Valedictorian wanted to find a moving quote to speak to her fellow graduates.|
Commend|to express approval of a person's achievements|As the principal of the high school, it is my pleasure to commend all of this year’s graduates for their achievements.|
Commendable|deserving honor, respect, or admiration|I find it commendable that the department store would agree to accept returned merchandise, 3 months after it was purchased.|
Commendation|an award or honor|Receiving a commendation in recognition of his volunteer services was the highlight of the fireman’s day.|
Commensalism|a relationship between two distinct organisms in which one of the things obtains a benefit of some sort and the other organism neither gains nor loses anything |A remora attaching itself to a shark for transportation purposes is a prime example of commensalism.|
Commensurate|in proportion; equal|You will get a salary increase commensurate with your additional responsibilities and work.|
Commentary|descriptive remarks based on someone’s viewpoint|Every commentary that was made after the woman’s speech was positive since she spoke so eloquently.|
Commerce|actions associated with selling and buying services and goods| E-commerce or electronic commerce involves the buying and selling of goods and services online.|
Commiserate|express or feel sympathy or pity|Until you have walked in his shoes, you cannot commiserate with him.|
Commission|an amount of money given as a payment from the company for completing a business deal|Once the saleslady rung up the multiple items at the retail store, she smiled because she would make a hefty commission from the sale.|
Commit|to make one’s self obliged to do something or bound to a promise|The man regretted his decision to commit himself to marriage and wished he had never taken his vows.|
Commitment|the act of dedicating yourself to a cause or activity; dedication|Passing tests in medical school is important, but one also requires commitment to see things through to the end.|
Committee|a group of people appointed or elected to work on project or study a problem|Each committee member was given a different task to complete for the upcoming Relay for Life Event.|
Commodious|spacious and convenient; roomy and comfortable|I finally found an inexpensive hotel with rooms that are commodious enough for the whole family.|
Common|happening every day or ordinary|A common activity for new mothers is to calm and soothe their crying babies since babies cry for many different reasons on a daily basis.|
Commonality|the condition of sharing certain characteristics|The twins have only one commonality; they both have bright red hair.|
Commoner|an ordinary person who has no special title and isn’t of royal blood|Because she was a commoner, no one expected that Cinderella would be the one to end up with Prince Charming.|
Commonplace|ordinary; not unusual|Even though my sister and I equally shared the car, it was commonplace for the car to be missing from the driveway.|
Commonsensical|based on sound reasoning or information|Though the information was commonsensical, some of the students still didn’t understand it.|
Commonwealth|an independent country, community or state|According to census records her home state is the fastest growing commonwealth in the nation.|
Commotion|noisy confusion|There was a commotion among the sheep when the dog broke loose from its leash.|
Communal|used to describe something that is shared by or available to all members of a specific community|The communal pool at the community center is open to everyone that lives in the neighborhood.|
Communicable|referring to a disease that can be transmitted or given to others|Any disease that can be transferred to another person, be it through touch, air travel, or blood, is considered communicable.|
Communicate|to share information or ideas through words, movement, or writing|The twins use their own language to communicate, one that even their own parents don’t understand.|
Communication|the ability or act of talking with another person either in person or through some other medium to exchange information|The campers were cut off from communication with their friends and family members when their cellphones lost service deep in the woods.|
Communism|a financial and political system in which the government controls all of a country’s major resources and distributes them according to need|One of the benefits of communism is free healthcare for everyone.|
Commute|to travel to and from work on a regular basis, typically from home|My commute takes me about twenty minutes every day, so if I want to arrive to work on time I have to wake up at least forty minutes before I have to be there.|
Commute|to travel a considerable distance between home and work on a regular basis|Because my place of work is so far away, I have to commute for over an hour every single day to make it to work and back home again.|
Commuter|a person who regularly travels a great distance to work|Jake wasn’t thrilled to become a commuter, but the pay was worth the hour and 15 minute drive from home.|
Compact|condensed; compressed|The compact wagon was much more condensed than a full-size SUV.|
Compaction|the process of making more compact or densely packed together|The soil that was added to the planter had to be light so that compaction wouldn’t occur and crush the roots.|
Companion|someone you spend a lot of time with|Sometimes, the best companion for an elderly man is an obedient and calm dog.|
Companion|a person who accompanies another person while traveling or doing other tasks|The service dog acts as a companion to the blind man and follows him everywhere he goes.|
Company|a person or group of people seen as pleasant or enjoyable to be around|My brother has always been exceptionally good company, since we are around the same age and grew up spending time together.|
Comparable|having features in common with something else|Finding a hotel with comparable amenities at half the price proved difficult for the travelers.|
Comparative|relative; in comparison to something else|Because they are the three major monotheistic religions, Islam, Christianity, and Judaism are comparative faiths.|
Comparatively|to a moderate degree when compared to something else|Mistreating others because you have a comparatively higher income is morally wrong.|
Compare|to note similarities between things|Auditors will compare the two files to see if they equal up.|
Comparison|the act of telling what two or more things have in common|A comparison of the two books showed that the main characters had a lot in common.|
Compartment|a separate division or section, often of a room, chamber, or container|The pyramid contained a secret compartment where the body of the pharaoh and all his possessions were stored.|
Compartmentalize|to separate and isolate things into compartments or categories|We are taught to compartmentalize our work and personal lives, but sometimes it is hard to separate the two.|
Compass|a round, arrowed device that always points north and is used to find direction|Explorers used the compass to find their way to the island.|
Compassion|awareness of an individual’s suffering|The woman’s compassion for others led her to become a nun.|
Compassionate|displaying concern and/or understanding towards other people|The compassionate man donated half of his yearly salary to local charities.|
Compatible|able to occur together or exist without conflict|While Fido is compatible with dogs, he does not get along with cats.|
Compatriot|somebody from one's own country|It put Juan at ease to be sitting next to a fellow compatriot on the plane trip from Spain to the United States.|
Compel|to press or force to have something done |Sometimes I have to compel my daughter into doing her chores by threatening to keep her allowance.|
Compelling|captivating; enthralling|The music was so compelling the snake stopped watching its prey and began to sway.|
Compendious|something that has been explained in a concise or brief way|The small book included a short and compendious overview of the history of Feudal Japan.|
Compendium|an assortment of items displayed as a set|The book is nothing more than a compendium of the author’s rants against the government.|
Compensation|that which is given as payment for a service or as reimbursement for a loss or expense |If the compensation doesn't allow me to pay my bills, then I'm not interested in the job.|
Compete|To try to win something such as a prize or award|On Friday, our team will compete in a race against a neighboring school.|
Competition|a challenge for an award or prize|When the spelling competition concludes, a prize will be given to the best speller.|
Competitive|having a strong desire to win or be the best at something|Because she’s so competitive, the tennis player can’t stand for someone else to win a match.|
Competitor|one who takes part in a contest or competition|Manuel was the only competitor that had ever been a part of the race before.|
Compilation|a collection|A compilation of family photos was on display all across the living room wall.|
Compile|to bring together items and put them in one set or collection|The librarian will compile popular books by African American authors and put them in a special area for Black History Month.|
Complacency|a feeling of self-satisfaction that makes one unaware of one’s environment|Because of the complacency of the guards, enemy spies were able to sneak into the castle.|
Complacent|pleased; overly content|I am rightfully not complacent with low quality service.|
Complain|to make negative remarks about someone or something often|The students complain about all the extra homework their math teacher gave them over winter break.|
Complaint|a grievance, problem, difficulty or concern; the act of complaining|I intend to make a formal complaint against my manager to Human Resources.|
Complaisant|marked by an inclination to please or oblige|Marsha’s complaisant character made her the perfect servant.|
Complete|to finish; to conclude; to reach the end |The investigation into the store robbery is complete once the criminal confessed.|
Complex|difficult and complicated|A complex problem surfaced during the faculty meeting when there were not enough staff members to serve food that day to the hundreds of customers who showed up.|
Complexion|the tone and look of the skin of someone’s face|Her smooth complexion made the model irresistible to every cosmetic company who saw her face.|
Complexity|the state of being difficult or complicated|Joshua became quite nervous when he noticed the complexity of the math problems on his final exam.|
Compliant|observing the requirements and rules|The teacher was shocked when her normally rebellious class became compliant.|
Complicate|make something more difficult or confusing by causing it to be more complex|On shows like Chopped and Cupcake Wars, judges like to complicate the challenge by adding an exotic ingredient that many chefs haven’t used before.|
Complicated|difficult and involving many different parts|The first cake recipe was too complicated, so I decided to choose a simpler one.|
Complication|a difficulty or problem|The surgery was completed with only one complication and that difficulty was quickly overcome.|
Complicity|the condition of being involved in an act of wrongdoing|Your complicity in the crime is probably going to earn you five years in prison.|
Compliment|a few words of praise: saying that someone or something is good in some way|I just wanted to compliment you for the wonderful speech you gave tonight.|
Comply|to obey or be in agreement with a policy or rule|The man was arrested because he refused to comply with the airline’s no smoking policy.|
Component|a small section of a bigger part of a whole thing|The only component of the sandwich that I do not like is the tomato, but the turkey, lettuce and mayonnaise are fine.|
Comport|to fit with or act in a certain fashion|Because the children do not comport well in a formal dining atmosphere, we have placed them at a kids’ table in the kitchen.|
Comportment|conduct; manners|Because my brother lacks good comportment, he’s probably going to offend someone during the wedding banquet.|
Compose|to put something together, like a letter, song, poem, speech, etc.|Mozart would compose many famous musical pieces in his lifetime.|
Composed|calm and showing no signs of nervousness|Trying to remain composed as she approached the judges, the beauty contestant took a deep breath and gave a sweet smile.|
Composite|comprised of various elements |The composite test score is the sum of the math and vocabulary scores.|
Compost|decayed material (i.e., leaves, food peelings) that is used as a fertilizer|Al created a compost pile in his garden and used the decaying leaves and grass to help his trees grow.|
Compound|a property that has multiple buildings in one area|The entire compound was secured by fences and security systems that served to protect all of those inside.|
Compound|a thing that is composed of two or more separate parts|The compound sentence was made of two different phrases.|
Comprehend|to mentally grasp the meaning or reason behind something|Since the text was written in a foreign language, I could not comprehend its meaning.|
Comprehension|understanding; grasp of knowledge|Comprehension of the passage required the student to read the text several times.|
Comprehensive|comprising a wide range of things|Because I want the car completely repainted, I have purchased the comprehensive auto package.|
Compress|to flatten something by pressure|Wearing a girdle to compress the pudge on her stomach, the vain woman was much happier with a tummy that appeared flat.|
Compression|the action of squeezing something into a smaller form or space|Compression occurs when you squeeze something large into something small, like a pillow.|
Comprise|to be made up of |Women and children comprise seventy percent of the hospital’s patients.|
Comprised|to be formed or made from|Rick’s sculptures are comprised of copper and aluminum.|
Compromise|an arrangement reached when two parties agree to make allowances|In a monetary compromise, the debtor agreed to pay the bill in full if the lender gave him a payment plan.|
Comptroller|a person in charge of supervising the quality of the accounting and financial reporting of a corporation or public body|The comptroller released an audit that outlined all of the discrepancies he found in the mayor’s office’s financial records.|
Compulsive|uncontrolled or reactive and irresistible behavior|My wife is a compulsive shopper spending more than what we can afford.|
Compulsory|not having an option; required|Because education is not compulsory in all countries, there are many children who do not attend school.|
Compunction|anxiety arising from awareness of guilt|The serial killer showed no compunction when his guilty verdict was announced.|
Computation|the act of mathematically calculating something|Computation of the math problem was too difficult to take on without a calculator.|
Compute|to calculate or work out|In order to compute the correct numbers, Leanna needed a calculator.|
Comrade|one who shares an experience or duty|Police officers came from across the country to gather at the funeral of their comrade.|
Con|to trick or mislead someone|The traveling salesman made good on his promise to con every housewife in the neighborhood.|
Concatenation|taking two separately located things and placing them side by side so that they become two things|The student’s concatenation of the words ‘air’ and ‘plane’ formed the word airplane.|
Concave|shaped in an inward manner like a bowl’s interior|While a convex lens turns outward, a concave lens bends inwardly.|
Conceal|to put out of sight or hide from scrutiny|Danielle tried to conceal her bruises with skin-colored foundation.|
Concede|to admit something is true or to admit defeat in a contest|Since he was trailing behind, the politician decided to concede the election to his opponent.|
Conceit|arrogant pride in oneself|There was so much conceit in his voice I couldn’t help but wonder if he swooned over his own image in the mirror every morning.|
Conceited|holding an overblown view of one’s assets|The conceited man would not stop talking about himself.|
Conceivable|capable of being conceived or imagined; possible; credible; thinkable.|It is quite conceivable that in 100 years from now, the world will be an unrecognizable place, due to the rapid advancements in technology.|
Conceived|imagined; visualized|The idea for the voice app was conceived while the inventor’s father was in the hospital.|
Concentrate|to focus all of your attention or mental effort to the thing you are doing|With his sister’s music blaring in the background, it was impossible for Dante to concentrate on his piano lesson.|
Concentration|the act of focusing one’s attention on something|My concentration was disturbed by the sound of a lawnmower outside my office window.|
Concentric|sharing an axis or center|The two circles are concentric because they share a center location.|
Conception|the birth of an idea or plan|It was obvious from the conception of the fundraiser the event would not be profitable.|
Conceptual|of, or relating to concepts or ideas; existing in the imagination|A good writer uses conceptual thinking to produce his work.|
Conceptualize|to come up with the idea or vision for something|During the meeting, we were asked to conceptualize a marketing plan for our client.|
Concern|a specific worry or distress|One concern of the mother is that her child seems not to be gaining much weight.|
Concert|a musical performance put on by one or more musicians/singers|I lost out concert tickets, so we won’t be able to go to the musical we’ve been dying to see.|
Concerted|in group agreement; working as a team|A concerted effort from community residents led to the formation of an effective neighborhood watch.|
Concession|an item or privilege that is given|Since the developer could not give the landowner his desired concession, he was not able to buy the land for the new subdivision.|
