Dirge|a sorrowful literary or musical composition that is used to honor a deceased person |When Kim sang a dirge for her deceased father, she brought everyone to tears.|
Dirigible|something that is capable of being steered or directed|All cars are dirigible in nature, capable of being steered or otherwise controlled by the driver.|
Disabuse|to make aware of the truth|If you wish to continue to believe that falsehood, I will not disabuse you by telling you the truth.|
Disadvantage|a drawback or obstacle|One disadvantage of going to the beach on the holiday weekend is that the shores will be jam-packed with people.|
Disaffected|rebellious and resentful, especially against authority|The disaffected rebels rioted in the streets after the latest police involved killing.|
Disagree|to hold or express a different opinion|Kim and Emma disagree about which movie they should see, so they may go bowling instead.|
Disagreeable|not nice, pleasant, or enjoyable in nature|Mark is an overly disagreeable man, often patronizing others and just outright antagonizing the people he doesn’t like.|
Disagreement|an argument caused by people having differences of opinion|A heated disagreement between the two friends caused them to stop speaking.|
Disallow|to revoke or take away a privilege that was previously allowed|Many parents disallow their children to participate in their favorite activities or hang out with their friends when they’re grounded.|
Disambiguate|to show the differences between two or more meanings clearly|Punctuation in a sentence helps one disambiguate the meaning of each phrase.|
Disappear|to vanish; to cease to be visible|With a blink of an eye, the magician was able to make the rabbit disappear from his hat.|
Disappointed|saddened and upset because of a letdown|The police disappointed that no witnesses came forward to talk to them about the crime.|
Disappointment|a feeling of unhappiness that occurs after something hoped for didn’t go as planned|After she didn’t make the cheerleading team, Tatiana was filled with a feeling of disappointment.|
Disapprobation|a demonstration of disapproval|I lied about my failing grades because I did not want to experience my parents’ disapprobation.|
Disapprove|to reject or refuse something|When Sarah’s boyfriend came in to meet her parents, she knew they would instantly disapprove of him due to his many tattoos, obnoxious attitude and unemployment status.|
Disarmament|taking up or giving away military weapons|The security council demanded full disarmament and that the group give up their weapons within twenty-four hours.|
Disarming|having the ability to decrease suspicions and fears|Because Danny is a disarming man and can easily reduce buyer fears, he is a great car salesman.|
Disaster|an event that causes great damage or hardship|The bride’s rainy wedding day was a disaster that started with missing rings and ended with a run-away groom.|
Disastrous|catastrophic; devastating|The disastrous date ended with the woman running to the bathroom in tears and the man skipping out on the check.|
Disavow|refuse to own; reject|When news of the band’s breakup surfaced, the manager had to disavow any part in the undoing.|
Disband|to separate or disperse permanently|When the Musketeers did disband, there was very little safety in France because the men could only be productive as a group.|
Disbelieve|to refuse or reject the belief or credence of something|The proof provided by the research made it hard to disbelieve in climate change.|
Disburse|to pay out, expend; usually from a public fund or treasury|The federal government said it was studying whether to disburse more relief funds to the state after the damage appears to be severe.|
Discard|to throw something away because it is considered not valuable or needed|Since I decided to discard all of my previous emails, I did not have the evidence stating that I loaned the woman money due to her admission in a June email.|
Discern|to be able to see, recognize, understand, or decide something|It was not difficult to discern that Ellen killed her husband for the million dollar life insurance policy.|
Discernible|noticeable|High gas prices are expected to have a discernible effect on the number of road trips taken this summer.|
Discernment|smart judgement|My grandmother says she has the gift of discernment which helps her when she meets people for the first time.|
Discharge|to dismiss or terminate|When the teenager was caught yelling at a customer, his boss decided to discharge the teenager’s employment.|
Disciple|a student or follower of a teacher or philosopher|After seeing his resurrection, the disciple of Christ set out to spread his message throughout the land.|
Disciplinarian|a person who lives and governs by rules and strictly enforces them|Her former military father was such a disciplinarian that he made everyone in the house wake up at 0500 and run three miles.|
Disciplinary|concerned with making sure rules are followed and not broken|Disciplinary action was taken by the principal after the student refused to listen to the teacher.|
Discipline|a learned behavior that enables the individual to have control over their actions|Habitual runners have such strong discipline that they wake up everyday for their jog even when they're sick or vacationing.|
Disclaim|to deny, as a claim; to refuse|We cannot, in conscience, ignore these facts or disclaim responsibility after Steven found additional information.|
Disclaimer|a statement that rejects responsibility|Prescription drug commercials are mandated to issue a disclaimer, describing the drug's side effects.|
Disclose|to reveal information; disclose|During the interview, the would-be informant agreed to disclose what he knew about the crime.|
Disclosure|the act of revealing something; making known|There is urgency in the plaintiff gaining full disclosure of all relevant documents.|
Discolor|to change or lose color|Washing light laundry with dark may cause your clothes to discolor, completely ruining them.|
Discombobulated|in a confused or bewildered condition |I felt discombobulated after working twelve hours a day for seven straight days.|
Discomfit|to make a person feel uncomfortable|The manager’s mean look served to discomfit me during the interview.|
Discomfiture|a feeling of embarrassment or discomfort|After he lost the election to his rival, a sense of discomfiture crept over the now embarrassed politician.|
Discomfort|being bothered by something to the point that it causes pain or embarrassment|Whenever Brielle caught her parents kissing she was filled with discomfort and quickly ran from the room.|
Disconcert|to upset, frustrate, or embarrass|John would disconcert his parents by not coming home after school.|
Disconcerting|tending to cause discomfort, uneasiness or alarm; unsettling; troubling; upsetting.|I found it very disconcerting to be in the wedding of my former boyfriend.|
Disconnect|break in an existing connection|To be sure electrical appliances and devices won’t be damaged during an lightning storm, everyone should turn off then disconnect the power plugs.|
Disconsolate|sad beyond comforting; inconsolable|The little girl was so disconsolate after her puppy ran away that her parents put up posters all over the neighborhood.|
Discontent|unhappiness, not being at peace with a situation or circumstance|Because of the increase in police related shootings, unhappiness and discontent spread through the city.|
Discontinue|to stop doing or making something|Nike decided to discontinue the new brand of shoes when sales didn’t reach expected levels.|
Discord|tension or strife resulting from a lack of agreement|Knowing that discord is destructive in the classroom, the teacher wanted to foster a sense of community among her students.|
Discordant|harsh or unpleasant in sound|Without proper guidance, the band produces discordant music that no one wants to hear.|
Discount|a reduction of the usually price of an object or service|The winter clothing is being offered with a discount since it now summertime.|
Discouraged|having lost confidence or hope|The two dogs became discouraged from the dog biscuit rolling under the couch.|
Discourse|written or spoken communication or debate|The discourse between the two candidates has not been friendly.|
Discourteous|rude; impolite|Although she considers herself a straight-shooter, my aunt’s blunt tone often comes across as rude and discourteous.|
Discovery|the finding, locating, or uncovering of something|The discovery of gold led many people to travel to Texas by wagon.|
Discredit|to harm the good reputation|The way Leonard responded to the customer was a discredit to the company’s service policy.|
Discreet|not attracting attention; being careful about what one says or does to avoid embarrassing or upsetting others|Hoping to avoid detection, the shoplifter tried to be discreet while walking through the store.|
Discrepancy|a difference or inconsistency especially between things that should be the same|A discrepancy in the financial reports is the reason for the audit.|
Discrete|separate; distinct; individual|Brown and white rice are two discrete varieties.|
Dispassionate|not being affected by or showing feelings |The dispassionate father watched television while his son cried on the floor.|
Dispatch|to quickly send off an individual or thing|According to the terms of the app, the computer will dispatch a vehicle to collect us within thirty seconds.|
Dispel|to cause to depart or be broken apart|The flowers from my husband do not dispel the fact I believe he is cheating on me.|
Dispensation|immunity from a law or rule |In our church, women who have abortions are not given a dispensation of forgiveness.|
Dispense|distribute, or give out|Every pharmacist must accurately dispense the medicine into the proper containers in order for no one to get sick.|
Disperse|to spread out|As soon as the last bell rings, students disperse out of the building and head to their buses.|
Dispirited|having lost all hope; disheartened|After losing the final game of the season, the once excited team was now sad and dispirited.|
Displace|to forcibly move people from their homeland, or to move someone or something|The destructive fire would displace many people from their homes.|
Display|to actively exhibit something much like in a museum|Museums display artwork from hundreds of years ago.|
Displease|to dissatisfy or annoy someone|The new anti-racism laws are sure to displease all the racists in this country.|
Displeasure|feeling of being displeased or annoyed with someone or something|The irate couple got up to leave in disgust, and the woman barked her displeasure at the waiter.|
Disposable|easily expendable and then throw away|Because you can't bring shaving equipment on a plane, many travelers buy disposable razors for the duration of their trip.|
Dispose|to toss out or give to another individual|I need to dispose of the broken blender and buy a new one.|
Disposition|the way that someone normally thinks and behaves |Even though the old man appeared grumpy, he really had a pleasant disposition.|
Dispossess|to deprive someone of the possession of land, especially by evicting them|Once the real estate investor neglected to pay his property taxes, the government took action to dispossess his land.|
Disproportionate|not in proportion; unfair in size|With a disproportionate number of students and staff, the small school scrambled to fit everyone in a classroom.|
Disprove|to prove that something is not true|Many brilliant scientists in the past had to work to disprove the widely held notions of the public in their lifetimes, such as the shape of the world or what the universe revolves around.|
Disputation|a quarrel or disagreement|In order to avoid a disputation about money, Amy handed her credit card to her husband.|
Disputatious|taking pleasure in arguments|Because Ashley is a disputatious person, she is a huge asset to the debate team.|
Dispute|to contest or argue about something|When I saw unauthorized charges on my credit card, I called the bank to dispute the amounts.|
Disqualify|to make someone ineligible for something (such as a prize) because of an offense|When they found the runner had used illegal drugs, the committee members decided to disqualify him from the race.|
Disquiet|a feeling of worry and anxiety|The novel is a tense thriller that will disquiet the reader.|
Disquietude|a condition of worry or concern|The little boy listened in disquietude as his parents argued in the kitchen.|
Disquisition|a long or elaborate essay or discussion on a particular subject|The history student's disquisition was a forty page long manifesto about the benefits of communism.|
Disregard|to ignore or dismiss something|If you disregard the red light at an intersection and keep driving you are not only breaking the law but also endangering your life.|
Disreputable|not worthy of respect|The mob associates decided to kill the disreputable informant.|
Disrepute|the status of being untrustworthy or dishonorable|Once the college fell into disrepute because of the hazing scandal, its number of applicants declined.|
Disrespect|to show a lack of respect to someone or something|This bill shows the government's disrespect for basic human rights and established legal principles.|
Disrupt|to interrupt something by causing a problem or disturbance|The jealous younger sibling attempted to disrupt his brother’s birthday party by throwing a tantrum to place the attention on him instead.|
Dissatisfaction|a state or feeling in which one is not happy or content|The public’s dissatisfaction continued to governor sunk the state’s economy.|
Dissatisfied|not happy or content|Dissatisfied with the restaurant service, the man asked the terrible waitress if he could speak to her manager.|
Dissect|to cut open and examine|Cutting into it with a knife, the biologist began to dissect the animal to look for disease.|
