Exhibitionist|an individual who uses his or her behavior to catch peoples’ attention|The female rapper is an exhibitionist who attracts attention by wearing revealing clothing.|
Exhilarate|to make an individual extremely happy|Achieving my weight loss goal is sure to exhilarate me.|
Exhilarating|producing intense feelings of joy or excitement|When I won ten million dollars in the lottery, it was the most exhilarating moment in my life.|
Exhort|to strongly urge someone to do something|While I cannot force you to drive the speed limit, I exhort you to do so or else you might end up in jail.|
Exhume|to bring something forth, often a body from the ground|When new evidence was introduced, the detective chose to exhume the elderly woman’s body.|
Exigency|something that is necessary in a particular situation|Rules are an exigency inside of a prison or else chaos will reign.|
Exigent|urgent; needing immediate action|The police should always obtain a search warrant unless there is an emergency or exigent circumstances.|
Exiguous|a tiny quantity of something or a tiny height|Due to my exiguous knowledge of history, I was bound to lose quickly at the history trivia game.|
Exile|the state of being expelled from one's country or home|The military leader was forced into exile and spent his final days on a small island.|
Eximious|exceptional; distinguished|Not willing to settle on the venue, the bride looked for an eximious location that would top any other she had seen.|
Existence|something determined to be real |Skeptics finally believed in the existence of ghosts once the paranormal activities were detected in their house.|
Existent|to be living|Questions are always posed about whether the dinosaurs were existent after the Mesozoic Era.|
Existential|something relating or dealing with existence|Perhaps the most existential question is “what is the meaning of life?”|
Exit|to go away or leave a place|Once the movie is over, the patrons will exit the theater and get in their cars to go home.|
Exodus|a situation in which a lot of people leave a place or activity at the same time|One would think that the repeated occurrence of tornadoes in an area would prompt an exodus of the residents to a location with a more stable climate.|
Exogamy|marrying someone from a different communal group|In order to avoid marrying a relative, the tribe practiced exogamy which involved mostly the surrounding tribes.|
Exogenous|caused by outside factors|The doctor determined that the woman’s depression was exogenous and stemmed from weather changes and other outside factors.|
Exonerate|to prove that someone is not guilty of a crime or responsible for a problem, bad situation, etc.|The job of the defense attorney is to exonerate his clients and keep them out of jail.|
Exonerated|to declare someone not guilty of criminal charges|After being exonerated, the death row inmate was freed from his jail cell.|
Exorbitant|unreasonably high amount of something; too much|The luxury hotel charges an exorbitant rate of $25 for a single cheeseburger.|
Exorcise|to drive out an evil spirit from a person, place or thing, especially by an incantation or prayer|Many people turn to religion to exorcise themselves from sin.|
Exorcism|the act of driving out a demon from a person or place|During the Second World War, some believed Adolf Hitler was possessed by a demon and tried to remove it through a long-distance exorcism.|
Exordium|the introductory part of a speech|The exordium of the speech explained the reasons why the speaker had selected nursing as a career.|
Exoskeleton|a hard outer body that covers and protects certain animals, particularly insects|Bats love to eat a certain type of insect, but cannot digest its hard exoskeleton.|
Exothermic|releasing heat|Because it generated heat, the chemical was considered exothermic.|
Expand|to increase in size or enlarge|In order to expand the master bedroom, the owner tore through a wall to combine the bedroom and a bonus room.|
Expanse|an open area that is large in size|The city park is a beautiful expanse of green in the center of town.|
Expansion|growing larger or more extensive|Expansion into the western part of the United States increased after a huge land deal was struck with the French.|
Expansive|covering a wide area; extensive|Covering an expansive area, the search team looked high and low for the missing child.|
Expansively|having a wide range or extent of effect or influence|The company has an expansively built network of cell phone towers to help them provide their service to as many people as possible.|
Expatiate|to write or talk about something using many details|During his book signing, Clark will expatiate on his military adventures.|
Expatriate|an individual who does not reside in his native nation or birthplace|My uncle is an expatriate who left the country of his birth to live in France.|
Expect|to guess or suppose|When everything was going wrong with the flight, we were told to expect the worst with a crash landing.|
Expectancy|in a state of hoping or expecting something to happen|Right before the storm, the stores restocked their shelves with expectancy of hurried shoppers.|
Expectant|waiting eagerly for something to happen|Impatiently waiting for her newborn’s arrival, the expectant mother counted down the days until her due date.|
Expectation|a belief that something is going to happen in the near future|The expectation that a landslide victory would occur was confirmed during the election with seventy percent of the vote going to the incumbent.|
Expectorate|to expel from the mouth|If Jack wants to feel better, he needs to expectorate the mucus from his lungs.|
Expedient|suitable to the circumstances; appropriate|Given the fact the police will be looking for us soon, it is expedient we leave this apartment quickly!|
Expedite|to cause something to happen faster|If you would like to expedite the shipping of your order, please pay the express shipping fee.|
Expedition|a trip taken for a specific reason|In the television series, the spaceship set off on a ten-year expedition to explore new planets and meet new life forms.|
Expeditious|performed quickly and efficiently|When I order fast food, I expect to receive it in an expeditious timeframe.|
Expel|to force something out such as liquid and air; eliminate|When Susan was sick with bronchitis, the doctor told her to cough up the mucus and immediately expel it.|
Expend|to use up|Our long, midday hike always causes me to expend all of my energy and leaves me exhausted by dinner.|
Expense|a cost or price|Although the dealership agreed to repair the motor for free, the owner had to purchase a battery at an added expense.|
Experience|knowledge or skill gained by doing|The woman’s previous management experience made her a shoe-in for the leadership position at a local factory.|
Experiential|knowledge gained from experience and observation|Taking an experiential approach, the company hoped to train employees through hands-on training modules.|
Experiment|an examination usually in a scientific nature that tests a proposed explanation|The scientists conducted an experiment on rats to determine if the new medication is safe for people.|
Experimental|something new that is still in the trial stages|Experimental trials provided encouraging results related to new chemotherapy options for cancer patients.|
Expert|an expert is someone specialized in a given area|As an expert in natural healing, the naturalist provides nutritional advice to cure diseases.|
Expertise|the knowledge held by one who is an expert in something|Kurt’s computer expertise earned him a high-paying job.|
Expiate|to make up for something|To expiate for breaking his neighbor’s window, John shoveled snow for three months.|
Expire|for something, most often a period of time, to end|My contract with the client I work for is set to expire in six months, after which I’ll need to find a new source of work.|
Explanation|a description of something or someone in order to clarify it|When the new employee was going through her job orientation, the boss provided an explanation of the tasks she would need to perform.|
Explanatory|the act of describing something|Mr. Doug’s secretary emailed her department an explanatory memo about what should be in the quarterly reports.|
Explicable|capable of being justified or recognized as true|The only explicable solution to the water shortage problem was to simply conserve as much water as possible.|
Explicit|specific about rules or what is required|The difficult woman left the maid explicit details about how she wanted her house cleaned.|
Explode|to blow up something using a violent and noisy tactic|The Los Angeles Bomb Squad detonated the mysterious device before it would explode and damage everything in sight.|
Exploit|to gain an advantage by doing something unethical |For hefty paychecks, the paparazzi were willing to exploit the grieving widow at her husband’s funeral.|
Exploited|utilize someone or something for their own personal gain|“Jane exploited the situation,” Karen responded, “since she only came to our party to eat dinner.”|
Exploration|adventuring into an unknown place in order to become educated about it|Several kids decided to conduct an exploration of the cave due to their curiosity of science.|
Exploratory|associated with searching and examining something|For my technical writing class, I decided to conduct exploratory research to narrow down my topic for my next paper.|
Explore|travel to or examine|Setting out to explore the island was the most adventurous thing the man had ever done.|
Explorer|an adventurer that explores unfamiliar areas or uncharted territories|Looking for the West Indies, the explorer must have been surprised when he ended up on a completely different continent than what he set sail for.|
Explosion|a violent blowing apart or bursting caused by a chemical change|The dynamite detonated, causing an earth shattering explosion across the city.|
Explosive|something that explodes or blows up when ignited|Fearing her husband’s explosive personality, the wife tried to speak softly and avoid any topics that would infuriate him.|
Exponent|an individual who champions a certain principle or cause; an advocate|Once homeless Janice is now a successful businesswoman and exponent for ending homelessness.|
Exponentially|increasing rapidly in a sizable quantity|Because of the poor economy, crime has increased exponentially in our state.|
Export|to send to another nation for retail purposes|If the country did not have oil to export, it would be a very poor nation.|
Expose|to reveal or uncover something|The blackmailer threatened to expose the politician’s love child.|
Exposition|the action of putting something out to public view; for example, in a display or show|We attended a Business to Business exposition, where exhibitors displayed their products and services to attract other companies.|
Expostulate|to express strong disagreement|My mother never missed the opportunity to expostulate her opinion anytime my father did something which displeased her.|
Exposure|unprotected or visible to others|Exposure to ultra-violet rays from the sun can lead to skin cancer, so it is necessary to cover yourself with sunscreen.|
Expound|to clarify by providing details|During his graduation speech, Thad will expound his hopes and prayers for his graduating class.|
Express|communicate; articulate|Meteorologists began to express their concern about a storm moving into the area.|
Expression|the look on one’s face that shows what he or she is feeling|Looking at the excited expression on her daughter’s face, Donna was happy that she could make her little girl’s dreams come true.|
Expressive|animated; dramatic|The expressive dance routine was added to the boring show to give an animated touch.|
Expressly|specifically; clearly|The regulations for entry are expressly and clearly stated in the rulebook.|
Expropriate|to take away property without payment to the owner|The pirate’s made their living by being able to expropriate the property of others they happened upon.|
Expulsion|a circumstance in which an individual or thing is ejected from a position, place, or group|Since Henry hated school, the threat of expulsion did not make him behave.|
Expunge|to remove completely|I would like to expunge my ex-husband from my memory.|
Expurgate|to edit out rude, incorrect, offensive, useless, or otherwise undesirable information; to purge|The rapper was told that if he did not expurgate the offensive lyrics from his new song, it would never be played on the radio.|
Exquisite|especially fine or pleasing; exceptional|She wore an exquisite dress, which left all the guests staring in surprise.|
Extant|still around; not extinct|The extant writings of the ancient philosopher are still quite popular with philosophy students.|
Extemporaneous|completed without any type of advance preparation|Instead of giving his prepared speech, the minister delivered an extemporaneous statement about the recent terrorist attacks.|
Extempore|impromptu; done without preparation|An extempore meeting was called without notice to terminate employees who hadn’t lived up to performance standards.|
Extemporize|to improvise, especially while giving a speech or performing music|The pianist was able to extemporize and play a piece without music or preparation.|
Extend|to move outward|The procrastinating students requested for the professor to extend the deadline for the essay.|
Extension|the act of moving something outward|Since the plug was across the room, Toby needed an extension so the cord could reach his computer.|
Extensive|having a large scale|It will take several months for the city to clean up the extensive damage caused by the hurricane.|
Extensively|to a large degree|Having toured the area extensively, the man felt that he had a lot of background knowledge on what was needed in Amsterdam.|
Extent|the distance or magnitude something spreads or covers|No one knew the extent of her son’s injury since the school only gave minute details of what happened on the playground.|
Extenuate|to cause a wrong act to be judged less harshly because of circumstances|The woman’s troubled childhood wasn’t enough to extenuate or excuse her of killing her husband.|
Extenuating|to lessen the seriousness of a wrong act|The court reduced the criminal’s sentence because of extenuating circumstances.|
Exterior|pertaining to the outside of something|When I noticed the chipped paint on the exterior of my house, I hired a professional to paint the outer part of my house.|
Exterminate|to destroy completely|Needing help to exterminate the bugs, the pest control worker ordered specialized repellant.|
External|the exterior or outside of something|When the two children continued to physically fight, this external conflict would cause their parents to get tired of hearing the bickering.|
Extinct|no longer active or in existence|Even though dinosaurs are extinct, people can learn more about them by visiting a museum.|
Extinction|the process of a species completely dying out|Extinction of the species happened after poachers killed many of the animals.|
Extinguish|to snuff out or eliminate something|She learned that the only way to extinguish a grease fire is to eliminate the oxygen by covering it with another pan or pouring baking soda on top.|
Extirpate|to totally eliminate|Hopefully the pesticides will extirpate the insects from my garden.|
Extol|to praise|Because Helen and Gina were jealous of their sister’s good fortune, they did not extol her when she won the academic scholarship.|
Extort|to take from an unwilling person|When Larry was fired, he attempted to extort cash from his former boss by threatening to expose the man’s drug addiction.|
Extortion|the practice of obtaining money from someone through force, threats, or abuse of power|The criminal committed extortion when he threatened to hurt the victim’s family if she didn’t give him money.|
Extract|to pull an object from something in order to remove it, usually with force|When the dentist noticed the infected tissue around his patient's gums, he knew he would have to extract the tooth.|
Extraction|the process of removing something or taking it out|The man paid for the extraction of just one tooth but ended up having another one removed as well.|
Extradite|to send an individual accused of a crime back to the area in which the crime took place|The state will soon extradite Cal to the island nation where he is wanted for assaulting a young girl.|
Extraneous| not essential or coming from the outside|Because of so many extraneous details in the instructions, Dad wasn’t able to put the toy together in time for Christmas morning.|
Extraordinaire|someone or something that is outstanding or remarkable|That man is an extraordinaire, being someone that goes on remarkable adventures with his ludicrous amounts of cash.|
Extraordinary|amazingly good|Henry is an extraordinary pianist who has played for three presidents and several royal families.|
Extravagant|excessive; exceeding normal bounds|Rick spent nearly a year’s salary on the extravagant engagement ring.|
Extravaganza|excessive and lavish celebration or performance|Carnival in Venice, Italy, is an annual extravaganza of elaborate masks, dancing, music, and feasting before Lent.|
Extreme|to a very large degree or amount|Laura always takes arguments to the extreme and quickly turns things physical.|
Extremist|a person who holds radical views that are viewed as extreme or fanatical|Because they are an extremist group, ISIS has some very fanatical religious views.|
Extremity|a risky measure|Who would have ever thought Patrick would go to the extremity of jumping out of an airplane to propose to Michelle?|
Extricate|to free or remove something or someone |If the magician does not extricate himself from the water tank in the next forty-five seconds, he will die.|
Extrinsic|not belonging to, outside of|We did not expect there to be any issues with our wedding date, however the weather turned into an extrinsic factor that forced us to change the date.|
Extrovert|an individual who is sociable and enjoys conversing with others|Because Pat is an extrovert who enjoys chatting with others, she is the ideal talk show host.|
Extrude|to force out|The volcano began to extrude lava, shooting the hot liquid up and over its sides.|
Extrusive|describes rock material that was made when magma was pushed out through holes in the earth's surface|After the lava cooled extrusive slabs of rock were scattered around the outer edge of the volcano.|
Exuberance|the quality of being exuberant; cheerful or vigorous enthusiasm; liveliness|Even though the children’s choir had trouble getting the words of the songs right, their exuberance in singing more than made up for it.|
Exuberant|filled with energy and enthusiasm|Even though Johnny was not a very good basketball player, he had such an exuberant attitude that he came across as one of the stars of the team.|
Exudation|a condition of something quickly flowing out or forward|As the young man came dressed in a suit and presented himself professionally, the exudation of class was apparent to anyone who was in the same room with him.|
Exude|to openly display an emotion or quality|After accomplishing so much, he could not help but exude confidence in himself.|
Exult|to rejoice, be very happy|Christians are taught to exult Christ above all else.|
Exultation|a feeling of triumphant elation or jubilation|Harry’s feelings of exultation intensified as he neared the end of his prison term.|
Eyesore|an unpleasant or ugly sight that is in a public place (i.e. building, statue).|The casino was an eyesore to the community members who hated looking at the neon lights.|
Fable|a fictional tale, often with talking animals, meant to present a moral value|In the fable ‘The Tortoise and the Hare,’ we see that sometimes it is better to take things slow and steady if we really want to have success.|
Fabricate|to make up for the purpose of deception|The journalist got fired when his editor learned of his plan to fabricate a story about the president.|
Fabulist|a story-writer who composes or rewrites fables|The fabulist wrote tales about talking animals living long ago.|
Fabulous|amazing or wonderful|The amount of money we made during the fundraiser was absolutely fabulous, covering the cost of not only our current project, but the repaving of the school parking lot as well.|
Facade|deceptive outward appearance|I often find myself putting up a facade when I’m around my troubled brother.|
Face|the surface of (especially the front) of a thing|The face of the table had a scratch that ran all the way across the top.|
Facet|a side or aspect of something|“Beyond a reasonable doubt” means that you must explore every facet of the case.|
Facetious|joking often inappropriately; not serious|Do you always have to be so facetious?|
Facial|of or affecting the face|The actor read his lines and practiced his facial expressions in the mirror.|
Facile|easily performed|While the adults found the video game complicated, the teenagers thought it was facile and easily played.|
Facilitate|to make something occur or less difficult|The translator will facilitate the conversation between the immigrant and the attorney.|
Facilitation|the process of something becoming easier or simpler|Due to the teacher’s facilitation of the skills in her class, my grade jumped from making low D’s to A’s and B’s.|
Facility|space or equipment necessary to accomplish a task|There is no facility available to produce our cupcakes, so we will have to continue working from home.|
Facsimile|a copy or reproduction|He offered a facsimile of the original painting for a much discounted price.|
Fact|a truthful statement|My mother hid the fact that my dad was not my real father for more than forty years.|
Faction|a group within a larger group that has different ideas and opinions than the rest of the group|In the novel, the heroine was born into a faction of the population that dedicated their lives to helping each other.|
Factor|an element that contributes to a circumstance or situation|The high fuel consumption is the main factor that deters me from buying the vehicle.|
Factory|a building were products are made|Factory employees work Monday through Friday making the rubber stoppers that go in bathtubs.|
Factotum|person having many responsibilities|After accomplishing every task on the woman’s list from installing a new sink to babysitting the children, the factotum proved his worth and earned his pay for the day.|
Factual|having the quality or characteristic of being true or grounded in reality|That two plus two equals four is a completely factual statement, and no one can ever claim it to be false.|
Faculty|the teaching staff of an educational organization, such as a school or university|My favorite member of the faculty here at school is Mr. Earhart, because he teaches my favorite class.|
Faculty|the teachers who work at a school or university|Faculty pictures were included with the students in the school yearbook.|
Fade|a gradual decrease; dim movie clip or diminish sound|I don’t care for the speed sensitive volume control feature on my car because the music will fade when I come to a complete stop.|
Fahrenheit|a temperature scale in which 32 degrees is the standard for freezing and 212 degrees is the boiling point|If you crank the heat up to 212 degrees Fahrenheit, the water in the pot will begin to boil.|
Failure|a disaster or flop|The fashion show was a failure after the models fell off the runway, the lighting did not work and very few people showed up to watch the event.|
Fain|pleased or inclined to do something|Although I was on a diet, I was fain to eat a large slice of cake.|
Faint|weak and dizzy|Because she felt faint, the exhausted woman went to lie down for a while.|
Fair|just in decisions; right or ethical|The fair judge always made decisions that were in the reasonable and just.|
Fairness|the condition of being reasonable, impartial, and just|Many students loved their English teacher due to her fairness by treating each student equal to the other students.|
Fairway|an open path or space, particularly for playing golf|The golfer hit a tee shot over the water past the green fairway.|
Faithful|to be loyal to someone or something|After being caught in a small lie, the citizens remained faithful to the mayor since he had done so much good for their town and they could forgive a small lie.|
Fakir|a Muslim or Hindi holy man with magical powers who makes a living by begging|An Indian fakir roamed the city begging for alms from those who help the poor.|
Fallacy|an idea or belief that is false but many people think is true|Having money makes you happy is a fallacy because happiness has nothing to do with wealth.|
Fallen|having dropped by the force of gravity|I spent countless hours before winter begins raking leaves that have fallen from trees.|
Fallible|capable of making mistakes or being wrong|Even though we are all fallible to some degree, the most successful people have learned how to rise above their weaknesses.|
Fallow|not being used|At the end of summer, the once crowded beaches become fallow as the young people return to school.|
FALSE|untrue; fake|False news filled the internet, tricking people into believing lies.|
Falsehood|something that is an outright lie or fib|Despite the fact that Henry VIII told an obvious falsehood about his wife’s infidelity, the people of England were too scared to question the king and she was beheaded.|
Falsetto|an unnaturally high and feminine voice particularly sung by a male|The young man sang in a high, clear falsetto that rivaled the most talented female singers.|
Falsity|something that is false, an outright lie, or simply incorrect|A common historical falsity is that only Jews suffered under Hitler’s reign, but other marginalized groups were persecuted as well.|
Falter|to hesitate, stumble, or waver|When the bank teller noticed that the masked man began to falter slightly, she discreetly pressed the silent alarm.|
Familiar|to have knowledge of|Mia wasn't familiar with the astrophysics but after reading a few textbooks on the subject she learned quickly.|
Familiarize|to make, or become familiar with something or someone|Having just moved in, I walked around to familiarize myself with the neighborhood.|
Family|a group of people related to one another|All of the family members look alike because of their red hair and freckled faces.|
Famine|a severe food shortage or period when food is in short supply|Many people have starved to death because of the famine.|
Famish|to make someone extremely hungry|Three days without anything to eat was enough to famish the lost campers.|
Famished|extremely hungry|The man had not eaten for days, so when I asked if he was hungry he responded by saying “I’m famished.”|
Famous|well-known; famed|The chef became so famous for her meals that she was given her own cooking show.|
Fanatic|one who is extremely passionate about something, often a religion or cause |My husband is an exercise fanatic who runs six miles every day.|
Fanatical|having an extreme, irrational zeal or enthusiasm for a specific cause|Richard is fanatical about his beliefs, preaching to anyone that will listen.|
Fancied|liked or felt a desire for|The couple fancied a night out on the town, so they got dressed and called a cab.|
Fanciful|imaginative or unreal|Because she had a wild imagination, she loved to create fanciful stories in her spare time.|
Fanciful|coming from the imagination; dreamlike|The storyteller told fanciful tales about talking mermaids and fearless princesses.|
Fancy|to want to do something|We fancy a trip to the islands, but our budget won’t allow it.|
Fanfare|the attention of the public or prestigious ceremony|The President received a great deal of fanfare when he announced his plans on immigration, so the news spread word of it quickly.|
Fantastic|extraordinarily good; incredibly wonderful|The strong winds make for a fantastic day of kite flying.|
Fantastical|odd and remarkable; as if it came from the imagination|The woman’s real-life success story sounded like some fantastical movie plot.|
